yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الأندلس,أخرى,1,120000.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الأندلس,أخرى,1,1000000.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الأندلس,أخرى,1,167177.0,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الأندلس,أخرى,1,475000.0,
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الأندلس,أخرى,1,1000000.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الأندلس,أخرى,2,1288550.0,
2021,2,الربع الثانى,20212,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,3,1570000.0,
2020,3,الربع الثالث,20203,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,4,1130000.0,
2023,3,الربع الثالث,20233,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,2,850000.0,
2019,4,الربع الرابع,20194,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,5,1650000.0,
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,3,830000.0,
2019,1,الربع الأول,20191,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,8,2910000.0,4226.91001
2022,1,الربع الأول,20221,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,5,2320000.0,
2023,2,الربع الثانى,20232,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,2,975000.0,
2022,3,الربع الثالث,20223,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,3,1046000.0,
2021,4,الربع الرابع,20214,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,5,1770000.0,
2021,1,الربع الأول,20211,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,12,2119500.0,1090.605021
2022,2,الربع الثانى,20222,منطقة مكة المكرمة,جدة,الرحاب,أخرى,1,930000.0,
2020,4,الربع الرابع,20204,منطقة مكة المكرمة,جدة,الرحاب,أخرى,1,90000.0,
2023,3,الربع الثالث,20233,منطقة مكة المكرمة,جدة,السبيل,أخرى,2,2461539.0,
2023,2,الربع الثانى,20232,منطقة مكة المكرمة,جدة,اللؤلؤ,أخرى,1,1976400.0,
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الأندلس,أخرى,3,1500000.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الصحافة,أخرى,1,17280000.0,
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,المصانع,أخرى,1,30000.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الصحافة,أخرى,29,12111318.0,2735.000212
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الصحافة,أخرى,1,12150000.0,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,المصانع,أخرى,1,100000.0,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الناصرية,أخرى,3,611400.0,
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الصحافة,أخرى,1,12150000.0,
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,النظيم,أخرى,1,750000.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,النظيم,أخرى,1,100000.0,
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,حطين,أخرى,4,2991300.0,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الناصرية,أخرى,1,100000.0,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الناصرية,أخرى,2,260000.0,
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الناصرية,أخرى,1,80000.0,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الأندلس,أخرى,1,1050000.0,
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الأندلس,أخرى,2,700000.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,غبيرا,أخرى,2,380000.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الناصرية,أخرى,1,200000.0,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الناصرية,أخرى,1,360000.0,
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الناصرية,أخرى,1,50000.0,
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الناصرية,أخرى,1,100000.0,
2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,عرقة,أخرى,1,10028208.0,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,عرقة,أخرى,2,26635800.0,
2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الناصرية,أخرى,1,1093593.0,
2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الأندلس,أخرى,5,2200000.0,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الأندلس,أخرى,6,3800000.0,19718.309859
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الأندلس,أخرى,6,4400000.0,1317.529864
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الأندلس,أخرى,4,1600000.0,
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الأندلس,أخرى,2,2100000.0,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,عرقة,أخرى,1,150000.0,
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,عرقة,أخرى,2,63531110.0,
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,المصانع,أخرى,1,2681184.0,
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,النظيم,أخرى,1,907500.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الصحافة,شقة,30,42375314.0,11283.13372
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الصحافة,شقة,41,39400526.0,5350.3982
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الصحافة,شقة,26,29923700.47,12604.208126
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الصحافة,شقة,15,20264789.76,9414.120273
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الصحافة,شقة,35,55458560.0,8813.737898
2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الأندلس,شقة,4,2475000.0,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الأندلس,شقة,27,14041793.25,4780.114373
2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الأندلس,شقة,1,340000.0,
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الأندلس,شقة,2,1708050.0,
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الأندلس,شقة,3,1135000.0,
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الأندلس,شقة,4,1910000.0,
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الأندلس,شقة,2,797000.0,
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الأندلس,شقة,5,2541328.0,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,ظهرة لبن,أخرى,1,476676.0,
2020,2,الربع الثانى,20202,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,1,400000.0,
2019,3,الربع الثالث,20193,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,4,1400000.0,
2018,4,الربع الرابع,20184,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,9,2855000.16,2935.282686
2018,1,الربع الأول,20181,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,1,450000.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,حطين,أخرى,15,12508700.0,10920.000186
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الأندلس,شقة,2,958488.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الأندلس,شقة,6,2851483.0,3832.177761
2023,2,الربع الثانى,20232,منطقة المدينة المنورة,المدينه المنوره,الجماوات,شقة,5,8563030.4,
2022,3,الربع الثالث,20223,منطقة المدينة المنورة,المدينه المنوره,الجماوات,شقة,4,3422000.0,
2023,3,الربع الثالث,20233,منطقة المدينة المنورة,المدينه المنوره,الدفاع,شقة,2,850000.0,
2022,4,الربع الرابع,20224,منطقة المدينة المنورة,المدينه المنوره,الدفاع,شقة,4,2726000.0,
2022,2,الربع الثانى,20222,منطقة المدينة المنورة,المدينه المنوره,الدفاع,شقة,17,11395093.0,3317.339405
2021,4,الربع الرابع,20214,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,35,18838969.4,2756.391784
2021,1,الربع الأول,20211,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,41,22998282.0,2921.403625
2022,2,الربع الثانى,20222,منطقة المدينة المنورة,المدينه المنوره,الجماوات,شقة,9,7190000.0,3634.590257
2023,1,الربع الأول,20231,منطقة المدينة المنورة,المدينه المنوره,الجماوات,شقة,8,3740000.0,2049.701733
2019,2,الربع الثانى,20192,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,18,13378420.26,2920.044894
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الأندلس,شقة,2,1404275.0,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الأندلس,شقة,3,1457194.0,
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الأندلس,شقة,6,3126000.0,3068.730538
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الأندلس,شقة,6,3052296.0,3428.981973
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الأندلس,شقة,27,21343418.69,5219.7905
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الصحافة,شقة,84,66559902.04,5347.29584
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الصحافة,شقة,194,490676767.47,8709.668172
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الصحافة,شقة,33,53591977.19,10000.459107
2019,2,الربع الثانى,20192,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,3,1900000.0,
2018,3,الربع الثالث,20183,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,7,1919000.0,3592.873508
2023,3,الربع الثالث,20233,منطقة مكة المكرمة,جدة,الرحاب,شقة,10,6729147.0,4146.117742
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,الرحاب,شقة,3,2010000.0,
2022,1,الربع الأول,20221,منطقة مكة المكرمة,جدة,الرحاب,شقة,16,9805556.52,4015.05857
2019,3,الربع الثالث,20193,منطقة مكة المكرمة,جدة,اللؤلؤ,أخرى,1,6500000.0,
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,اللؤلؤ,أخرى,1,1277500.0,
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الصحافة,شقة,18,22028740.54,13125.399706
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,عرقة,أخرى,4,50480200.0,
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,عرقة,أخرى,1,385000.0,
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,عرقة,أخرى,1,200000.0,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,النظيم,شقة,5,1899046.68,
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,النظيم,شقة,2,505540.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,النظيم,شقة,9,2752926.0,2170.579526
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,النظيم,شقة,2,435000.0,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,غبيرا,أخرى,1,125000.0,
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,النظيم,شقة,10,5030049.0,3697.999446
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,النظيم,شقة,3,1302384.0,
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,النظيم,شقة,27,9481608.01,2356.912404
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,حطين,شقة,231,261450427.0,8554.253649
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,حطين,شقة,13,11934267.21,6921.290086
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,حطين,شقة,135,110090694.34,5543.133731
2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الأندلس,شقة,1,497999.56,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الأندلس,شقة,7,3726276.0,3826.939615
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الأندلس,شقة,3,1090000.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الأندلس,شقة,6,4252217.0,3041.248065
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الأندلس,شقة,1,380000.0,
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,النظيم,شقة,2,500000.0,
2018,3,الربع الثالث,20183,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,6,3620884.38,2143.918108
2018,4,الربع الرابع,20184,منطقة المدينة المنورة,المدينه المنوره,شوران,أخرى,1,145000.0,
2023,1,الربع الأول,20231,منطقة المدينة المنورة,المدينه المنوره,,شقة,1,600000.0,
2021,2,الربع الثانى,20212,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,38,20719437.2,3000.316762
2020,3,الربع الثالث,20203,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,25,12276355.0,2521.542764
2019,4,الربع الرابع,20194,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,31,20339555.7,2965.181034
2019,1,الربع الأول,20191,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,8,4681445.07,2931.819864
2023,2,الربع الثانى,20232,منطقة المدينة المنورة,المدينه المنوره,,أخرى,2,2179654.0,
2020,2,الربع الثانى,20202,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,27,15607719.0,2681.76089
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,العليا,شقة,21,42371199.0,20316.312245
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,العليا,شقة,19,232489575.0,16532.600498
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,العليا,شقة,12,18197020.0,21499.297073
2019,2,الربع الثانى,20192,منطقة مكة المكرمة,جدة,الأمير فواز الجنوبى,شقة,2,760000.0,
2018,3,الربع الثالث,20183,منطقة مكة المكرمة,جدة,الأمير فواز الجنوبى,شقة,2,785000.0,
2020,2,الربع الثانى,20202,منطقة مكة المكرمة,جدة,الرحاب,شقة,10,7103610.0,4205.109738
2019,3,الربع الثالث,20193,منطقة مكة المكرمة,جدة,الرحاب,شقة,10,7504377.34,4423.710517
2018,4,الربع الرابع,20184,منطقة مكة المكرمة,جدة,الرحاب,شقة,9,3268892.0,2229.760355
2018,1,الربع الأول,20181,منطقة مكة المكرمة,جدة,الرحاب,شقة,3,1075000.0,
2020,3,الربع الثالث,20203,منطقة مكة المكرمة,جدة,الرحاب,أخرى,1,800000.0,
2021,3,الربع الثالث,20213,منطقة مكة المكرمة,جدة,السبيل,أخرى,1,700000.0,
2018,3,الربع الثالث,20183,منطقة مكة المكرمة,جدة,اللؤلؤ,أخرى,1,100000.0,
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,الأمير فواز الجنوبى,شقة,1,440000.0,
2022,2,الربع الثانى,20222,منطقة مكة المكرمة,جدة,الرحاب,شقة,4,2450000.0,
2021,3,الربع الثالث,20213,منطقة مكة المكرمة,جدة,الرحاب,شقة,14,8298100.0,3868.863432
2020,4,الربع الرابع,20204,منطقة مكة المكرمة,جدة,الرحاب,شقة,14,7180000.0,3696.151516
2020,1,الربع الأول,20201,منطقة مكة المكرمة,جدة,الرحاب,شقة,8,3625050.0,4260.954684
2019,2,الربع الثانى,20192,المنطقة الشرقية,الدمام,الواحة,فيلا,2,1008264.49,
2018,3,الربع الثالث,20183,المنطقة الشرقية,الدمام,الواحة,فيلا,2,1100777.0,
2023,2,الربع الثانى,20232,المنطقة الشرقية,الدمام,,فيلا,1,8536615.8,
2023,2,الربع الثانى,20232,المنطقة الشرقية,الدمام,الواحة,فيلا,1,338500.0,
2021,4,الربع الرابع,20214,المنطقة الشرقية,الدمام,الواحة,فيلا,1,536845.0,
2021,1,الربع الأول,20211,المنطقة الشرقية,الدمام,الواحة,فيلا,3,2148263.92,
2018,2,الربع الثانى,20182,المنطقة الشرقية,الدمام,الواحة,شقة,1,460000.0,
2018,2,الربع الثانى,20182,المنطقة الشرقية,الدمام,الواحة,فيلا,1,263000.0,
2021,2,الربع الثانى,20212,المنطقة الشرقية,الدمام,الواحة,فيلا,1,1100000.0,
2020,3,الربع الثالث,20203,المنطقة الشرقية,الدمام,الواحة,فيلا,1,494818.5,
2019,4,الربع الرابع,20194,المنطقة الشرقية,الدمام,الواحة,فيلا,2,1721622.98,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,ظهرة لبن,شقة,122,48662414.31,2536.409157
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,ظهرة لبن,شقة,62,22796929.39,2324.802341
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,ظهرة لبن,شقة,132,81070480.78,3925.57216
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,ظهرة لبن,شقة,99,43146010.26,2374.503949
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,ظهرة لبن,شقة,166,96905382.01,3861.781141
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,ظهرة لبن,شقة,107,42869231.01,2400.992024
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,ظهرة لبن,شقة,92,38797058.75,2843.265009
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الأندلس,شقة,30,16274048.5,4861.623053
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الأندلس,شقة,20,15632097.84,5313.286365
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الأندلس,شقة,5,1936490.68,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,النظيم,شقة,13,6044000.0,2938.907461
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,النظيم,شقة,16,6093016.0,3356.593483
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,النظيم,شقة,27,7777624.42,1679.18536
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,النظيم,شقة,5,1515000.0,
2023,2,الربع الثانى,20232,منطقة مكة المكرمة,جدة,الأمير فواز الجنوبى,شقة,3,1900222.0,
2021,4,الربع الرابع,20214,منطقة مكة المكرمة,جدة,الأمير فواز الجنوبى,شقة,1,650000.0,
2021,1,الربع الأول,20211,منطقة مكة المكرمة,جدة,الأمير فواز الجنوبى,شقة,3,1415000.0,
2022,3,الربع الثالث,20223,منطقة مكة المكرمة,جدة,الرحاب,أخرى,1,120000.0,
2022,2,الربع الثانى,20222,منطقة مكة المكرمة,جدة,الأمير فواز الجنوبى,شقة,1,564380.0,
2020,1,الربع الأول,20201,منطقة مكة المكرمة,جدة,الأمير فواز الجنوبى,شقة,3,2372000.0,
2023,2,الربع الثانى,20232,منطقة مكة المكرمة,جدة,الرحاب,شقة,7,5245000.0,4372.946924
2022,3,الربع الثالث,20223,منطقة مكة المكرمة,جدة,الرحاب,شقة,5,2615010.58,
2021,4,الربع الرابع,20214,منطقة مكة المكرمة,جدة,الرحاب,شقة,20,12373514.05,3784.316636
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,حطين,شقة,127,75663934.2,4271.62188
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,عرقة,شقة,23,24909990.0,8120.625596
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,عرقة,شقة,41,43497830.75,7139.64018
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,حطين,عمارة,1,1550998.5,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,حطين,عمارة,2,1859460.0,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,عرقة,شقة,36,38605903.6,8103.94398
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,عرقة,شقة,30,29198962.37,7795.80861
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العليا,شقة,9,20181730.0,20577.891836
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العليا,شقة,31,50073670.0,20650.398799
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العليا,شقة,29,87855150.0,24801.125934
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,العليا,شقة,25,50094100.0,20000.0
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,ظهرة لبن,شقة,76,30007183.36,2288.856361
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,ظهرة لبن,شقة,62,21748828.22,2200.095923
2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,ظهرة لبن,شقة,37,13813052.55,2444.325696
2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,ظهرة لبن,شقة,96,36471228.32,2306.127813
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,ظهرة لبن,شقة,67,26936084.31,2127.08071
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,ظهرة لبن,شقة,62,25129263.96,2383.934939
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,النظيم,عمارة,2,670000.0,
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الصحافة,شقة,23,31180178.17,12546.615121
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الصحافة,شقة,123,66156213.8,3531.671542
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,العليا,شقة,7,10465450.0,20633.42544
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,العليا,شقة,90,181492876.4,23375.341709
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الأندلس,فيلا,21,31878000.0,4461.803096
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الأندلس,فيلا,8,10794051.5,4220.625736
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الأندلس,فيلا,12,22702416.79,5608.987539
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الأندلس,فيلا,11,18124487.61,3479.518448
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الأندلس,فيلا,4,8000000.0,
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الأندلس,فيلا,7,9631940.92,3720.695541
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الأندلس,فيلا,10,21470000.0,6124.190235
2021,1,الربع الأول,20211,منطقة مكة المكرمة,جدة,الرحاب,شقة,17,11512303.0,3759.352234
2019,2,الربع الثانى,20192,منطقة مكة المكرمة,جدة,الرحاب,شقة,9,4161252.2,3047.50688
2018,3,الربع الثالث,20183,منطقة مكة المكرمة,جدة,الرحاب,شقة,10,2500000.0,1391.199265
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,حطين,شقة,26,15585781.0,3869.606273
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,حطين,شقة,3,1440000.0,
2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الأندلس,فيلا,13,21749591.0,4140.056259
2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الأندلس,فيلا,4,4390494.56,
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الأندلس,فيلا,7,8660974.49,3695.719125
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الأندلس,فيلا,2,2362891.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,النظيم,شقة,16,5597538.0,2490.083465
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,النظيم,شقة,4,500000.0,
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,النظيم,شقة,13,3037502.12,2109.697235
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,النظيم,شقة,1,365000.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,حطين,شقة,39,37909254.81,6121.394838
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,حطين,شقة,93,75910676.48,4891.858676
2019,1,الربع الأول,20191,المنطقة الشرقية,الدمام,الواحة,فيلا,3,1185399.0,
2022,2,الربع الثانى,20222,المنطقة الشرقية,الدمام,,فيلا,1,320000.0,
2022,4,الربع الرابع,20224,المنطقة الشرقية,الدمام,الواحة,فيلا,1,480000.0,
2019,3,الربع الثالث,20193,المنطقة الشرقية,الدمام,الواحة,فيلا,2,1106263.96,
2018,4,الربع الرابع,20184,المنطقة الشرقية,الدمام,الواحة,فيلا,2,1077955.56,
2022,2,الربع الثانى,20222,المنطقة الشرقية,الدمام,الواحة,شقة,1,750000.0,
2023,1,الربع الأول,20231,المنطقة الشرقية,الدمام,الواحة,شقة,21,15257314.79,3629.172461
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,حطين,شقة,67,83853945.0,8915.469179
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,حطين,شقة,26,30353000.0,6254.877042
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,حطين,شقة,72,66907181.2,5644.943729
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,ظهرة لبن,شقة,150,84721982.42,3405.333356
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,حطين,شقة,36,25527390.0,4682.917483
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,حطين,شقة,72,49361386.56,4217.548578
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,حطين,عمارة,3,4257394.5,
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,عرقة,شقة,82,92362704.98,7243.512031
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,النظيم,شقة,18,3048000.0,1155.785685
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,العليا,فيلا,16,49680000.0,5212.278253
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,العليا,فيلا,13,19589100.97,5242.838344
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العليا,فيلا,17,93054801.36,7503.340494
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,العليا,فيلا,12,248947485.5,10083.218224
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العليا,فيلا,19,42673966.43,8038.281593
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,العليا,فيلا,9,24948744.25,4371.053909
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العليا,فيلا,28,81378812.0,6527.354581
2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الصحافة,شقة,62,70816365.0,7946.513683
2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الصحافة,شقة,10,10986468.5,11924.51893
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الصحافة,شقة,71,118419389.0,13775.335702
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الصحافة,شقة,167,316142875.83,16686.529744
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,حطين,شقة,432,471306551.44,7694.335607
2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,حطين,شقة,62,42332349.0,4463.51378
2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,حطين,شقة,21,13536177.0,3794.812641
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,حطين,شقة,5,2614000.0,
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,حطين,شقة,3,1290000.0,
2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,ظهرة لبن,شقة,54,22105080.4,2380.383632
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,العليا,شقة,10,19483830.0,11461.563359
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,المصانع,أخرى,2,155000.0,
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,المصانع,أخرى,1,206000.0,
2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الناصرية,أخرى,1,130000.0,
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الناصرية,أخرى,3,840500.0,
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الأندلس,فيلا,2,1906989.71,
