yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الملك فهد,شقة,1,900000.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,,فيلا,1,13000000.0,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الملك فهد,فيلا,11,29926000.0,7883.010549
2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الملك فهد,فيلا,1,1676849.0,
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الملك فهد,فيلا,17,45606786.0,7976.158574
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الملك فهد,فيلا,1,2700155.0,
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الملك فهد,فيلا,13,32244000.0,6018.160243
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الملك فهد,فيلا,2,3773825.0,
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الملك فهد,فيلا,2,4180001.0,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,المناخ,فيلا,12,119439386.7,2480.414092
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,المناخ,فيلا,3,2146000.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,المناخ,فيلا,1,459107.0,
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الديرة,أخرى,2,1107039.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,السليمانية,أخرى,8,2200000.0,4816.607663
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,السليمانية,أخرى,2,601075.0,
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,السليمانية,أخرى,2,17464142.0,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الديرة,أخرى,1,700000.0,
2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الديرة,أخرى,3,3448631.5,
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الديرة,أخرى,3,1068579.0,
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الديرة,أخرى,6,3657657.4,4239.565917
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الديرة,أخرى,6,1343642.0,1825.038741
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الديرة,أخرى,12,11791614.0,4778.191561
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الديرة,أخرى,8,3703272.5,4363.23628
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الديرة,أخرى,1,300000.0,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الديرة,أخرى,10,2522914.0,15213.368653
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الديرة,أخرى,3,488175.0,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الديرة,أخرى,10,1485972.0,846.58263
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الديرة,أخرى,1,837028.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الديرة,أخرى,1,680000.0,
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الديرة,أخرى,15,4751231.1,2873.150137
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الديرة,أخرى,7,3329821.5,11984.651162
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الديرة,أخرى,4,2317002.0,
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الديرة,أخرى,5,2900000.0,
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الديرة,أخرى,6,5500716.5,7854.599078
2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الديرة,أخرى,5,4755848.8,
2020,3,الربع الثالث,20203,المنطقة الشرقية,الدمام,,شقة,10,2553000.0,981.046187
2019,4,الربع الرابع,20194,المنطقة الشرقية,الدمام,,شقة,4,1050000.0,
2019,1,الربع الأول,20191,المنطقة الشرقية,الدمام,,شقة,8,2050000.0,976.993205
2023,1,الربع الأول,20231,المنطقة الشرقية,الدمام,البديع,شقة,1,440000.0,
2023,3,الربع الثالث,20233,المنطقة الشرقية,الدمام,,شقة,1,190000.0,
2022,4,الربع الرابع,20224,المنطقة الشرقية,الدمام,,شقة,6,1421875.0,980.853735
2022,1,الربع الأول,20221,المنطقة الشرقية,الدمام,,شقة,2,550000.0,
2023,2,الربع الثانى,20232,المنطقة الشرقية,الدمام,,شقة,5,1250000.0,
2022,3,الربع الثالث,20223,المنطقة الشرقية,الدمام,,شقة,3,750000.0,
2021,4,الربع الرابع,20214,المنطقة الشرقية,الدمام,,شقة,2,500000.0,
2021,1,الربع الأول,20211,المنطقة الشرقية,الدمام,,شقة,4,886000.0,
2018,2,الربع الثانى,20182,المنطقة الشرقية,الدمام,الجوهرة,شقة,1,465000.0,
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,السليمانية,أخرى,4,29361849.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,السليمانية,أخرى,1,1800000.0,
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المرسلات,أخرى,1,60245000.0,
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الديرة,أخرى,5,1675000.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الديرة,أخرى,7,4990519.6,20600.858369
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الشهداء,أخرى,1,76337500.0,
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,اليرموك,أخرى,3,13167500.0,
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الديرة,شقة,1,200000.0,
2023,1,الربع الأول,20231,منطقة مكة المكرمة,جدة,المنار,أخرى,2,2519762.67,
2019,2,الربع الثانى,20192,منطقة مكة المكرمة,جدة,المنار,أخرى,2,1006484.0,
2022,2,الربع الثانى,20222,منطقة مكة المكرمة,جدة,المنار,أخرى,2,5929929.61,
2018,3,الربع الثالث,20183,منطقة مكة المكرمة,جدة,المنار,أخرى,1,520000.0,
2021,3,الربع الثالث,20213,منطقة مكة المكرمة,جدة,المنار,أخرى,1,300000.0,
2020,4,الربع الرابع,20204,منطقة مكة المكرمة,جدة,المنار,أخرى,1,520000.0,
2020,1,الربع الأول,20201,منطقة مكة المكرمة,جدة,المنار,أخرى,1,1000000.0,
2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,السليمانية,شقة,1,295995.38,
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,المرسلات,شقة,2,501000.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,المرسلات,شقة,5,4367432.53,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الديرة,شقة,2,25122.75,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الديرة,شقة,11,510000.01,733.856023
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الديرة,شقة,10,1161000.0,1795.731078
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الديرة,شقة,1,184500.0,
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الزهرة,شقة,1,274000.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الزهرة,شقة,1,100000.0,
2020,2,الربع الثانى,20202,المنطقة الشرقية,الدمام,,شقة,1,245000.0,
2018,4,الربع الرابع,20184,المنطقة الشرقية,الدمام,,شقة,6,1390000.0,980.853735
2018,1,الربع الأول,20181,المنطقة الشرقية,الدمام,,شقة,14,3640000.0,974.929155
2021,2,الربع الثانى,20212,المنطقة الشرقية,الدمام,الجوهرة,شقة,1,580000.0,
2020,3,الربع الثالث,20203,المنطقة الشرقية,الدمام,الجوهرة,شقة,5,2381030.1,
2023,3,الربع الثالث,20233,المنطقة الشرقية,الدمام,الجوهرة,شقة,1,745000.0,
2019,4,الربع الرابع,20194,المنطقة الشرقية,الدمام,الجوهرة,شقة,1,936450.01,
2022,4,الربع الرابع,20224,المنطقة الشرقية,الدمام,الجوهرة,شقة,8,4483737.0,4001.798561
2019,2,الربع الثانى,20192,المنطقة الشرقية,الدمام,,شقة,2,588000.0,
2018,3,الربع الثالث,20183,المنطقة الشرقية,الدمام,,شقة,12,3050000.0,980.101146
2023,1,الربع الأول,20231,المنطقة الشرقية,الدمام,,فيلا,18,4200000.0,975.097509
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الزهرة,شقة,12,6934241.0,4831.287441
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الديرة,شقة,1,100000.0,
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,المرسلات,أخرى,1,33000000.0,
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الديرة,شقة,2,450000.0,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,السليمانية,شقة,3,1600850.0,
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,السليمانية,شقة,1,687291.75,
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,السليمانية,شقة,1,1966829.87,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,السليمانية,شقة,3,3325000.0,
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,السليمانية,شقة,3,1336151.0,
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,السليمانية,شقة,24,26627985.0,5089.797643
2022,2,الربع الثانى,20222,المنطقة الشرقية,الدمام,البديع,فيلا,3,3300000.0,
2021,3,الربع الثالث,20213,المنطقة الشرقية,الدمام,البديع,فيلا,3,4209000.0,
2020,4,الربع الرابع,20204,المنطقة الشرقية,الدمام,البديع,فيلا,3,4718297.84,
2020,1,الربع الأول,20201,المنطقة الشرقية,الدمام,البديع,فيلا,6,5239312.6,4646.069716
2021,4,الربع الرابع,20214,المنطقة الشرقية,الدمام,الربيع,فيلا,2,1370000.0,
2023,2,الربع الثانى,20232,منطقة مكة المكرمة,الطائف,,شقة,1,500000.0,
2022,3,الربع الثالث,20223,منطقة مكة المكرمة,الطائف,,شقة,2,1637011.0,
2018,2,الربع الثانى,20182,منطقة مكة المكرمة,جدة,مشرفة,شقة,4,2100000.0,
2023,3,الربع الثالث,20233,منطقة مكة المكرمة,جدة,مشرفة,شقة,30,24102549.23,4252.816869
2023,3,الربع الثالث,20233,منطقة مكة المكرمة,جدة,المنار,أخرى,1,200000.0,
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,المنار,أخرى,1,400000.0,
2022,1,الربع الأول,20221,منطقة مكة المكرمة,جدة,المنار,أخرى,1,1018801.0,
2018,2,الربع الثانى,20182,منطقة مكة المكرمة,جدة,المنار,شقة,33,10198350.0,3275.791724
2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,اليرموك,شقة,24,10651148.0,2857.671808
2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,اليرموك,شقة,27,13777743.19,2971.4462
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,اليرموك,شقة,39,17103291.32,2535.203241
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,اليرموك,شقة,34,18055643.85,3172.666299
2022,2,الربع الثانى,20222,المنطقة الشرقية,الدمام,الفيحاء,فيلا,8,8273347.99,2617.932406
2021,3,الربع الثالث,20213,المنطقة الشرقية,الدمام,الفيحاء,فيلا,8,7490325.0,2617.226677
2020,4,الربع الرابع,20204,المنطقة الشرقية,الدمام,الفيحاء,فيلا,6,2223121.0,2259.38466
2018,2,الربع الثانى,20182,منطقة مكة المكرمة,جدة,العزيزية,شقة,1,787750.0,
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,العزيزية,أخرى,1,699009.0,
2023,1,الربع الأول,20231,منطقة مكة المكرمة,الطائف,,شقة,72,62171550.95,3309.79732
2023,1,الربع الأول,20231,منطقة مكة المكرمة,جدة,الروابي,شقة,29,20553505.72,4324.035441
2021,2,الربع الثانى,20212,منطقة مكة المكرمة,جدة,العزيزية,شقة,3,1600000.0,
2020,3,الربع الثالث,20203,منطقة مكة المكرمة,جدة,العزيزية,شقة,11,3971113.11,2269.528232
2023,3,الربع الثالث,20233,منطقة مكة المكرمة,جدة,العزيزية,شقة,20,18490440.0,3943.778386
2019,4,الربع الرابع,20194,منطقة مكة المكرمة,جدة,العزيزية,شقة,7,3393385.08,2850.367232
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,العزيزية,شقة,20,16803220.0,4038.634222
2019,1,الربع الأول,20191,منطقة مكة المكرمة,جدة,العزيزية,شقة,8,5035500.0,3822.396355
2022,1,الربع الأول,20221,منطقة مكة المكرمة,جدة,العزيزية,شقة,13,7696600.0,2901.636606
2022,2,الربع الثانى,20222,منطقة مكة المكرمة,الطائف,الخالدية,شقة,4,3609000.0,
2021,3,الربع الثالث,20213,منطقة مكة المكرمة,الطائف,الخالدية,شقة,6,4980600.0,3243.425221
2023,1,الربع الأول,20231,منطقة مكة المكرمة,الطائف,الخالدية,شقة,1,700000.0,
2019,2,الربع الثانى,20192,منطقة مكة المكرمة,جدة,العزيزية,شقة,9,6790931.0,3798.656513
2018,3,الربع الثالث,20183,منطقة مكة المكرمة,جدة,العزيزية,شقة,6,1758663.0,2173.531415
2023,2,الربع الثانى,20232,منطقة مكة المكرمة,جدة,الفلاح,شقة,1,400000.0,
2022,3,الربع الثالث,20223,منطقة مكة المكرمة,جدة,الفلاح,شقة,2,1180000.0,
2021,1,الربع الأول,20211,منطقة مكة المكرمة,جدة,الفلاح,شقة,1,800000.0,
2023,1,الربع الأول,20231,منطقة مكة المكرمة,جدة,البغددية الشرقية,شقة,10,9245493.05,5565.319788
2023,2,الربع الثانى,20232,منطقة مكة المكرمة,جدة,الروابي,شقة,31,18590240.82,3935.358203
2022,3,الربع الثالث,20223,منطقة مكة المكرمة,جدة,الروابي,شقة,59,46438080.63,4351.876018
2018,1,الربع الأول,20181,منطقة مكة المكرمة,جدة,الخالدية,أخرى,1,3000000.0,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الرحمانية,شقة,1,760000.0,
2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,المصيف,شقة,1,380000.0,
2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,العزيزية,شقة,2,524521.0,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,العزيزية,شقة,7,2038223.0,2030.564641
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,العزيزية,شقة,3,1057935.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,العزيزية,شقة,9,3869280.73,2226.878447
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,العزيزية,شقة,10,3578055.87,2039.666676
2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الروضة,شقة,2,760000.0,
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الرحمانية,شقة,10,10584000.0,7902.152641
2020,1,الربع الأول,20201,المنطقة الشرقية,الدمام,الفيحاء,فيلا,17,12719054.72,2756.481204
2022,2,الربع الثانى,20222,المنطقة الشرقية,الدمام,النورس,فيلا,5,4055483.67,
2021,3,الربع الثالث,20213,المنطقة الشرقية,الدمام,النورس,فيلا,9,7180820.0,3268.145091
2020,4,الربع الرابع,20204,المنطقة الشرقية,الدمام,النورس,فيلا,11,6134275.99,3174.907861
2020,1,الربع الأول,20201,المنطقة الشرقية,الدمام,النورس,فيلا,9,7500980.55,3289.446266
2023,1,الربع الأول,20231,المنطقة الشرقية,الدمام,الفيحاء,شقة,37,21266701.0,3431.108117
2023,2,الربع الثانى,20232,المنطقة الشرقية,الدمام,الفيحاء,شقة,24,13307242.5,3430.208393
2022,3,الربع الثالث,20223,المنطقة الشرقية,الدمام,الفيحاء,شقة,24,14755653.0,3405.837914
2021,4,الربع الرابع,20214,المنطقة الشرقية,الدمام,الفيحاء,شقة,9,6087038.0,2970.642898
2021,1,الربع الأول,20211,المنطقة الشرقية,الدمام,الفيحاء,شقة,2,810000.0,
2021,2,الربع الثانى,20212,المنطقة الشرقية,الدمام,الفيحاء,فيلا,10,6611800.0,2964.996888
2020,3,الربع الثالث,20203,المنطقة الشرقية,الدمام,الفيحاء,فيلا,6,4126870.0,2248.167493
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الرحمانية,شقة,2,2230000.0,
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الشميسي,شقة,2,320000.0,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الروضة,شقة,4,2572048.98,
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الروضة,شقة,1,595000.0,
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الروضة,شقة,35,29137700.0,6057.575885
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الروضة,شقة,2,1050000.0,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الروضة,شقة,11,12606232.0,5485.748661
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الروضة,شقة,1,360000.0,
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الروضة,شقة,24,19672300.0,4888.196602
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,العزيزية,شقة,22,8191800.55,2985.509864
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,العزيزية,شقة,14,4979443.55,2603.083129
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,العزيزية,شقة,14,3788102.0,2429.852581
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,العزيزية,شقة,13,4549500.0,2542.146682
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الفاروق,شقة,1,200000.0,
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الروضة,شقة,1,330000.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الروضة,شقة,3,1902620.03,
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العزيزية,شقة,17,7938993.8,3097.043132
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العزيزية,شقة,14,5506097.0,3144.737725
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العزيزية,شقة,15,5587169.0,2346.688592
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,المنار,شقة,19,12446342.76,4950.605822
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,العمل,عمارة,3,5200000.0,
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الفاروق,شقة,1,190000.0,
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,السلي,شقة,6,4275000.0,5330.490405
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,السلي,شقة,3,1320000.0,
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,العمل,عمارة,1,13500000.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,المصيف,شقة,9,7489000.0,6509.364793
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,المصيف,شقة,4,1371000.0,
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,المصيف,شقة,1,450000.0,
