year,quarter,region_ar,city_ar,Category,total_deals,average
2019,3,المنطقة الشرقية,الخبر,استديو - سكني,313,13324.96454
2019,3,المنطقة الشرقية,الخفجي,استديو - سكني,37,11055.88235
2019,3,المنطقة الشرقية,الدمام,استديو - سكني,647,12303.8167
2019,3,المنطقة الشرقية,العيون,استديو - سكني,4,27432
2019,3,المنطقة الشرقية,القطيف,استديو - سكني,9,9488.888888
2019,3,المنطقة الشرقية,النعيرية,استديو - سكني,19,19389.47368
2019,3,المنطقة الشرقية,حفر الباطن,استديو - سكني,54,13430.76923
2019,3,المنطقة الشرقية,رأس تنورة,استديو - سكني,11,10200
2019,3,المنطقة الشرقية,الاحساء,دوبلاكس - سكني,18,23961.22222
2019,3,المنطقة الشرقية,الجبيل,دوبلاكس - سكني,11,31265.88889
2019,3,المنطقة الشرقية,الخبر,دوبلاكس - سكني,67,50545.63077
2019,3,المنطقة الشرقية,الخفجي,دوبلاكس - سكني,2,37500
2019,3,المنطقة الشرقية,الدمام,دوبلاكس - سكني,150,40112.35211
2019,3,المنطقة الشرقية,القطيف,دوبلاكس - سكني,9,23458.25
2019,3,المنطقة الشرقية,بقيق,دوبلاكس - سكني,1,25000
2019,3,المنطقة الشرقية,حفر الباطن,دوبلاكس - سكني,2,20000
2019,3,المنطقة الشرقية,رأس تنورة,دوبلاكس - سكني,5,20900
2019,3,المنطقة الشرقية,الاحساء,دور - سكني,96,20495.97647
2019,3,المنطقة الشرقية,الجبيل,دور - سكني,4,17250
2019,3,المنطقة الشرقية,الخبر,دور - سكني,86,30897.58904
2019,3,المنطقة الشرقية,الخفجي,دور - سكني,14,17775.84615
2019,3,المنطقة الشرقية,الدمام,دور - سكني,167,28632.83108
2019,3,المنطقة الشرقية,الصداوى,دور - سكني,1,6000
2019,3,المنطقة الشرقية,العيون,دور - سكني,5,20927.2
2019,3,المنطقة الشرقية,القطيف,دور - سكني,15,23844.4
2019,3,المنطقة الشرقية,القيصومة,دور - سكني,8,14400
2019,3,المنطقة الشرقية,النعيرية,دور - سكني,4,26666.66667
2019,3,المنطقة الشرقية,بقيق,دور - سكني,6,72500
2019,3,المنطقة الشرقية,حفر الباطن,دور - سكني,31,17237.17241
2019,3,المنطقة الشرقية,رأس تنورة,دور - سكني,5,24200
2019,3,المنطقة الشرقية,الاحساء,شقة - سكني,2518,13094.81826
2019,3,المنطقة الشرقية,الجبيل,شقة - سكني,1054,19932.19531
2019,3,المنطقة الشرقية,الخبر,شقة - سكني,4170,19917.96974
2019,3,المنطقة الشرقية,الخفجي,شقة - سكني,184,14048.29299
2019,3,المنطقة الشرقية,الدمام,شقة - سكني,8036,17807.81525
2019,3,المنطقة الشرقية,الذيبية,شقة - سكني,18,22720
2019,3,المنطقة الشرقية,العيون,شقة - سكني,46,14174.90909
2019,3,المنطقة الشرقية,القطيف,شقة - سكني,511,17011.0859
2019,3,المنطقة الشرقية,القيصومة,شقة - سكني,18,12129.93333
2019,3,المنطقة الشرقية,النعيرية,شقة - سكني,94,12819.40278
2019,3,المنطقة الشرقية,بقيق,شقة - سكني,20,17669.78947
2019,3,المنطقة الشرقية,حفر الباطن,شقة - سكني,351,12207.70764
2019,3,المنطقة الشرقية,رأس تنورة,شقة - سكني,287,15426.88312
2019,3,المنطقة الشرقية,قرية العليا,شقة - سكني,1,12000
2019,3,المنطقة الشرقية,الاحساء,فيلا - سكني,18,20537
2019,3,المنطقة الشرقية,الجبيل,فيلا - سكني,5,77600
2019,3,المنطقة الشرقية,الخبر,فيلا - سكني,76,90100.32857
2019,3,المنطقة الشرقية,الخفجي,فيلا - سكني,6,35833.33333
2019,3,المنطقة الشرقية,الدمام,فيلا - سكني,116,52453.38532
2019,3,المنطقة الشرقية,العيون,فيلا - سكني,2,27500
2019,3,المنطقة الشرقية,القطيف,فيلا - سكني,4,21750
2019,3,المنطقة الشرقية,النعيرية,فيلا - سكني,1,36000
2019,3,المنطقة الشرقية,بقيق,فيلا - سكني,2,56666.5
2019,3,المنطقة الشرقية,حفر الباطن,فيلا - سكني,3,28333.33333
2019,3,المنطقة الشرقية,الاحساء,محل - تجاري,129,437.088151
2019,3,المنطقة الشرقية,الجبيل,محل - تجاري,34,443.26061
2019,3,المنطقة الشرقية,الخبر,محل - تجاري,134,475.72584
2019,3,المنطقة الشرقية,الخفجي,محل - تجاري,10,362.858669
2019,3,المنطقة الشرقية,الدمام,محل - تجاري,235,532.24681
2019,3,المنطقة الشرقية,الذيبية,محل - تجاري,1,400
2019,3,المنطقة الشرقية,العيون,محل - تجاري,7,329.79695
2019,3,المنطقة الشرقية,القطيف,محل - تجاري,101,505.970248
2019,3,المنطقة الشرقية,النعيرية,محل - تجاري,4,165.133332
2019,3,المنطقة الشرقية,بقيق,محل - تجاري,1,1000
2019,3,المنطقة الشرقية,حفر الباطن,محل - تجاري,25,504.247326
2019,3,المنطقة الشرقية,رأس تنورة,محل - تجاري,20,483.424509
2019,3,المنطقة الشرقية,الاحساء,معرض تجاري - تجاري,1,600
2019,3,المنطقة الشرقية,الجبيل,معرض تجاري - تجاري,1,840
2019,3,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,6,441.2984
2019,3,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,13,548.106042
2019,3,المنطقة الشرقية,القطيف,معرض تجاري - تجاري,2,449.358975
2019,3,المنطقة الشرقية,القيصومة,معرض تجاري - تجاري,1,150
2019,3,المنطقة الشرقية,الاحساء,مكتب - تجاري,7,1039.264591
2019,3,المنطقة الشرقية,الجبيل,مكتب - تجاري,6,345.194003
2019,3,المنطقة الشرقية,الخبر,مكتب - تجاري,75,435.815358
2019,3,المنطقة الشرقية,الدمام,مكتب - تجاري,70,280.896808
2019,3,المنطقة الشرقية,القطيف,مكتب - تجاري,5,244.57888
2019,3,المنطقة الشرقية,رأس تنورة,مكتب - تجاري,3,282.29885
2019,4,المنطقة الشرقية,الاحساء,استديو - سكني,174,9231.475409
2019,4,المنطقة الشرقية,الجبيل,استديو - سكني,109,11358.39326
2019,4,المنطقة الشرقية,الخبر,استديو - سكني,493,12995.18204
2019,4,المنطقة الشرقية,الخفجي,استديو - سكني,26,11591.66667
2019,4,المنطقة الشرقية,الدمام,استديو - سكني,1011,11494.83107
2019,4,المنطقة الشرقية,العيون,استديو - سكني,3,10800
2019,4,المنطقة الشرقية,القطيف,استديو - سكني,10,11260
2019,4,المنطقة الشرقية,النعيرية,استديو - سكني,9,16666.66667
2019,4,المنطقة الشرقية,بقيق,استديو - سكني,3,14000
2019,4,المنطقة الشرقية,حفر الباطن,استديو - سكني,48,11589.3617
2019,4,المنطقة الشرقية,رأس تنورة,استديو - سكني,19,11600
2019,4,المنطقة الشرقية,الاحساء,دوبلاكس - سكني,16,22075
2019,4,المنطقة الشرقية,الجبيل,دوبلاكس - سكني,2,35500
2019,4,المنطقة الشرقية,الخبر,دوبلاكس - سكني,81,51318.58442
2019,4,المنطقة الشرقية,الخفجي,دوبلاكس - سكني,6,27254.4
2019,4,المنطقة الشرقية,الدمام,دوبلاكس - سكني,138,52348.80303
2019,4,المنطقة الشرقية,القطيف,دوبلاكس - سكني,20,29511.3125
2019,4,المنطقة الشرقية,بقيق,دوبلاكس - سكني,1,10000
2019,4,المنطقة الشرقية,حفر الباطن,دوبلاكس - سكني,3,10800
2019,4,المنطقة الشرقية,رأس تنورة,دوبلاكس - سكني,3,19666.66667
2019,4,المنطقة الشرقية,الاحساء,دور - سكني,101,15873.40426
2019,4,المنطقة الشرقية,الجبيل,دور - سكني,4,18897.33333
2019,4,المنطقة الشرقية,الخبر,دور - سكني,74,29711.67797
2019,4,المنطقة الشرقية,الخفجي,دور - سكني,15,22144.8
2019,4,المنطقة الشرقية,الدمام,دور - سكني,208,33055.07101
2019,4,المنطقة الشرقية,العيون,دور - سكني,4,15600
2019,4,المنطقة الشرقية,القطيف,دور - سكني,11,21601.63636
2019,4,المنطقة الشرقية,القيصومة,دور - سكني,10,13577.77778
2019,4,المنطقة الشرقية,النعيرية,دور - سكني,8,16109
