السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,2,الربع الثاني ,الشرقية,الدمام,الطبيشي,شقة,سكني,1,560000,142.31,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الراكة الجنوبية,أخرى,أخرى,1,390000,162.76,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الرويضة,شقة,سكني,1,690000,174.52,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,المنار,أخرى,أخرى,1,700000,236.91,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,المنار,دوبلكس,سكني,2,2030000,638.94,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,الروضة في محافظة القطيف,أرض,تجاري,2,3600000,1749,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الريان,أرض,سكني,2,2945000,714.99,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,العنود,أرض,سكني,4,4402800,2170,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,المنتزة,أرض,سكني,4,8742500,2096.28,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الخبر الجنوبية,أرض,سكني,5,3680000,1992.67,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,ضاحية الملك فهد,أرض,سكني,2,1600000,1243.919,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,البندرية,أرض,تجاري,2,8408640,1401.44,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,سنابس في محافظة القطيف,فيلا,سكني,1,400000,271.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,الاوجام في محافظة القطيف,أرض,سكني,3,7636181.78,2312.38,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,سنابس في محافظة القطيف,أرض,سكني,1,1090000,349.82,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,النعاثل,أخرى,أخرى,1,300000,140.67,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,حفر الباطن,النهضة,أرض,تجاري,2,950000,1785,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الدانة الشمالية,أرض,تجاري,1,1700000,588,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الحمراء,أخرى,أخرى,1,380000,156.79,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,السنيدية,أرض,سكني,1,300000,344.38,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الخدمات المساندة,أرض,سكني,2,12848205,17130.94,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,ابن خلدون,أرض,سكني,1,650000,325.22,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,العنود,شقة,سكني,1,530376,144.52,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,صناعية الظهران,أرض,سكني,1,2300000,2000,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,ضاحية الملك فهد,أرض,تجاري,1,3000000,3032,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,البديعة,أرض,سكني,2,3056562,742.72,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الزهور,فيلا,سكني,3,5587500,1869.75,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الصالحية,أرض,سكني,2,250000,507.38,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,التعاون,أرض,سكني,1,5294000,3741.4,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الأثير,أرض,تجاري,1,4500000,1332,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الروابي,أخرى,أخرى,5,2669000,771.09,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,التعاون,أرض,سكني,1,1130000,360,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الشهابية,أرض,تجاري,1,2700000,851,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,حفر الباطن,الصفاء,أرض,تجاري,4,3490000,3561.6,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الخالدية الشمالية,أرض,سكني,3,2152859.33,861.56,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,النهضة,أرض,تجاري,1,14529600,16144,NULL,NULL,NULL
