المنطقة,المدينة,السنة,ربع السنة,عدد الملاك النساء,نسبة تملك النساء
منطقة مكة المكرمه,القنفذه,2025,الربع الرابع,33,22.76%
منطقة مكة المكرمه,الكامل,2025,الربع الرابع,1,14.29%
منطقة مكة المكرمه,الليث,2025,الربع الرابع,6,18.75%
منطقة مكة المكرمه,المويه,2025,الربع الرابع,1,5.88%
منطقة مكة المكرمه,بحره,2025,الربع الرابع,12,21.05%
منطقة مكة المكرمه,تربه,2025,الربع الرابع,35,20.23%
منطقة مكة المكرمه,جده,2025,الربع الرابع,"1,985",29.93%
منطقة مكة المكرمه,خليص,2025,الربع الرابع,21,21.65%
منطقة مكة المكرمه,رابغ,2025,الربع الرابع,42,21.54%
منطقة مكة المكرمه,رنيه,2025,الربع الرابع,11,22.92%
منطقة مكة المكرمه,مكة المكرمة,2025,الربع الرابع,645,32.31%
منطقة مكة المكرمه,ميسان,2025,الربع الرابع,1,33.33%
منطقة نجران,ثار,2025,الربع الرابع,1,9.09%
منطقة نجران,حبونا,2025,الربع الرابع,2,3.77%
منطقة نجران,شروره,2025,الربع الرابع,10,14.93%
منطقة نجران,نجران,2025,الربع الرابع,74,15.64%
منطقة نجران,يدمه,2025,الربع الرابع,2,6.90%
