ج,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,696,718"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,696,793"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,696,813"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,696,857"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,696,892"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,429"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,483"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,527"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,511"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,419"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,466"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,452"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,384"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,407"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,565"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,383"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,478"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,373"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,394"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,669,325"
 مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,665,315"
 مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,671,802"
 مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,670,625"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,676,943"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,674,434"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,669,804"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,670,360"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,669,754"
 عسير,ابها,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,681,894"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,667,935"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,669,371"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,669,521"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,673,915"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,667,588"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,671,240"
 مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,672,661"
 مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,673,049"
 مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,673,202"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,673,013"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,677,225"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,668,812"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,678,490"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,685,300"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,668,586"
 الرياض,شقراء,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,687,601"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,666,348"
 مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/08/26,"31,666,766"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/26,"31,670,735"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,858"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,734"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,666,014"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,461"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,573"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,543"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,666,823"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,666,459"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,671,392"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,666,855"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,670,681"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,671,256"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,723"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,672,418"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,673,311"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,053"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,285"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,670,880"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,673,947"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,670,734"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,670,980"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,671,248"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,158"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,671,971"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,666,876"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,673,527"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,678,063"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,674,615"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,678,814"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,675,737"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,673,853"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,959"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,294"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,675,647"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,675,775"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,673,208"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,670,820"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,678,311"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,691,038"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,666,957"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,747"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,681,174"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,677,871"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,678,931"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,672,601"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,681,989"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,678,864"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,673,777"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,665,067"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,123"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,076"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,678,753"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,665,205"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,671,040"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,677,834"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,669,191"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,674,923"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,801"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,678,959"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,679,097"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,671,549"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,671,641"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,678,358"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,698,402"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,549"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,670,284"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,678,997"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,041"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,470"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,597"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,970"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,901"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,669,433"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,669,248"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,669,454"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,665,185"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,666,139"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,536"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,669,028"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,666,251"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,672,414"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,664,900"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,673,673"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,918"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,669,392"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,666,715"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,665,998"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,282"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,670,441"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,242"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,666,722"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,678,286"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,669,188"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,281"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,672,841"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,673,976"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,280"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,669,315"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,669,129"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,671,860"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,668,277"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,665,997"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,670,463"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,667,370"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/26,"31,669,345"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,704,796"
 الشرقية,الاحساء,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,706,790"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,703,831"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,710,482"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,706,729"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,715,169"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,714,829"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,440"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,601"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,709,275"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,721,463"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,698,695"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,586"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,716,255"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,721,458"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,721,454"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,714,853"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,714,839"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,591"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,520"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,709,334"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,714,854"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,718,588"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,716,242"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,714,951"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,033"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,716,248"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,698,710"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,714,953"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,714,834"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,707,127"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,709,292"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,113"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,570"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,707,121"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,709,316"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,709,341"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,169"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,709,342"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,508"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,028"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,712,601"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,040"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,709,397"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,712,595"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,025"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,718,566"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,698,889"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,741"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,052"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,707,094"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,709,345"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,698,712"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,709,318"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,698,893"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,736"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,698,707"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,740"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,718,591"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,707,099"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,707,232"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,707,090"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,521"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,707,092"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,719,314"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,714,846"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,543"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,712,598"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,171"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,719,345"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,718,585"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,698,688"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,719,363"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,719,315"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,721,475"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,123"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,716,226"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,709,395"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,698,690"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,702,978"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,703,809"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,712,961"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,711,080"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,713,095"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,712,968"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,714,911"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,711,326"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,711,199"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,711,367"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,712,578"
 الشرقية,الاحساء,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,706,939"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,706,421"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,710,842"
 مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,706,430"
 مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,706,532"
 مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,713,733"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,703,891"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,704,941"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,710,668"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,710,379"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,709,532"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,704,980"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,706,829"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,715,250"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,706,158"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,710,601"
 المدينة المنوره,المدينة المنورة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/08/27,"31,711,120"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,702,421"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,702,976"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,704,385"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,144"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,705,591"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,701,975"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,702,883"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,707,242"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,702,789"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,706,967"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,707,744"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,087"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,186"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,711,090"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,713,059"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,707,036"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,713,003"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,716,888"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,715,782"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,716,495"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,713,478"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,714,159"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,717,922"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,718,482"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,703,369"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,716,600"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,712,368"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,717,627"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/08/27,"31,714,698"
