المنطقة,المدينة,السنة,ربع السنة,عدد الملاك الرجال,نسبة تملك الرجال
منطقة الرياض,القويعيه,2025,الربع الأول,316,83.38%
منطقة الرياض,المجمعه,2025,الربع الأول,445,75.04%
منطقة الرياض,المزاحميه,2025,الربع الأول,428,83.92%
منطقة الرياض,ثادق,2025,الربع الأول,135,75.42%
منطقة الرياض,جلاجل,2025,الربع الأول,40,97.56%
منطقة الرياض,حريملاء,2025,الربع الأول,420,79.10%
منطقة الرياض,حوطة بني تميم,2025,الربع الأول,56,70.00%
منطقة الرياض,رماح,2025,الربع الأول,129,77.25%
منطقة الرياض,شقراء,2025,الربع الأول,304,68.62%
منطقة الرياض,ضرماء,2025,الربع الأول,333,79.67%
منطقة الرياض,عفيف,2025,الربع الأول,310,84.24%
منطقة الرياض,مرات,2025,الربع الأول,118,76.62%
منطقة الرياض,وادي الدواسر,2025,الربع الأول,42,73.68%
منطقة الشرقية,ابقيق,2025,الربع الأول,128,79.50%
منطقة الشرقية,الاحساء,2025,الربع الأول,112,64.74%
منطقة الشرقية,الجبيل,2025,الربع الأول,373,87.76%
منطقة الشرقية,الجفر,2025,الربع الأول,405,79.26%
منطقة الشرقية,الخبر,2025,الربع الأول,"1,107",74.55%
منطقة الشرقية,الخفجي,2025,الربع الأول,251,83.67%
منطقة الشرقية,الدمام,2025,الربع الأول,"1,001",73.60%
منطقة الشرقية,الظهران,2025,الربع الأول,41,70.69%
منطقة الشرقية,العيون,2025,الربع الأول,56,74.67%
منطقة الشرقية,القطيف,2025,الربع الأول,295,76.23%
منطقة الشرقية,النعيريه,2025,الربع الأول,258,85.71%
منطقة الشرقية,الهفوف,2025,الربع الأول,973,78.72%
منطقة الشرقية,حفر الباطن,2025,الربع الأول,993,83.87%
منطقة الشرقية,رأس تنوره,2025,الربع الأول,19,86.36%
منطقة الشرقية,قرية العليا,2025,الربع الأول,105,83.33%
منطقة القصيم,الاسياح,2025,الربع الأول,34,66.67%
منطقة القصيم,البدائع,2025,الربع الأول,218,78.70%
منطقة القصيم,البكيريه,2025,الربع الأول,117,71.78%
منطقة القصيم,الخبراء,2025,الربع الأول,123,71.51%
منطقة القصيم,الرس,2025,الربع الأول,219,70.87%
منطقة القصيم,الشماسيه,2025,الربع الأول,59,73.75%
منطقة القصيم,المذنب,2025,الربع الأول,308,79.59%
منطقة القصيم,النبهانيه,2025,الربع الأول,28,84.85%
منطقة القصيم,بريده,2025,الربع الأول,"1,682",76.73%
منطقة القصيم,رياض الخبراء,2025,الربع الأول,278,82.49%
منطقة القصيم,ضريه,2025,الربع الأول,18,81.82%
منطقة القصيم,عقلة الصقور,2025,الربع الأول,30,83.33%
منطقة القصيم,عنيزه,2025,الربع الأول,391,75.92%
منطقة القصيم,عيون الجوى,2025,الربع الأول,38,74.51%
منطقة القصيم,قبه,2025,الربع الأول,10,90.91%
منطقة المدينة المنوره,الحناكية,2025,الربع الأول,95,70.90%
منطقة المدينة المنوره,المدينة المنورة,2025,الربع الأول,"2,047",75.45%
منطقة المدينة المنوره,المهد,2025,الربع الأول,17,73.91%
منطقة المدينة المنوره,وادي الفرع,2025,الربع الأول,94,73.44%
منطقة المدينة المنوره,ينبع,2025,الربع الأول,143,93.46%
منطقة تبوك,املج,2025,الربع الأول,2,100.00%
منطقة تبوك,تبوك,2025,الربع الأول,729,79.50%
منطقة تبوك,تيماء,2025,الربع الأول,68,74.73%
منطقة تبوك,حقل,2025,الربع الأول,25,92.59%
منطقة تبوك,ضباء,2025,الربع الأول,34,79.07%
منطقة جازان,ابو عريش,2025,الربع الأول,177,80.45%
منطقة جازان,احد المسارحه,2025,الربع الأول,15,83.33%
منطقة جازان,الحرث,2025,الربع الأول,1,100.00%
منطقة جازان,الدائر,2025,الربع الأول,1,100.00%
منطقة جازان,الدرب,2025,الربع الأول,7,100.00%
منطقة جازان,الريث,2025,الربع الأول,1,100.00%
منطقة جازان,الشقيق,2025,الربع الأول,12,100.00%
منطقة جازان,العارضه,2025,الربع الأول,2,100.00%
منطقة جازان,العيدابي,2025,الربع الأول,21,95.45%
منطقة جازان,بيش,2025,الربع الأول,82,91.11%
منطقة جازان,جيزان,2025,الربع الأول,480,74.19%
منطقة جازان,صامطه,2025,الربع الأول,46,77.97%
منطقة جازان,صبياء,2025,الربع الأول,118,79.19%
منطقة جازان,ضمد,2025,الربع الأول,22,81.48%
منطقة جازان,فرسان,2025,الربع الأول,4,44.44%
منطقة جازان,هروب,2025,الربع الأول,1,100.00%
منطقة حائل,الحائط,2025,الربع الأول,10,83.33%
منطقة حائل,الروضة,2025,الربع الأول,102,83.61%
منطقة حائل,السليمي,2025,الربع الأول,30,71.43%
منطقة حائل,الشملى,2025,الربع الأول,40,81.63%
منطقة حائل,الشنان,2025,الربع الأول,102,68.00%
منطقة حائل,الغزاله,2025,الربع الأول,91,85.85%
منطقة حائل,الكهفه,2025,الربع الأول,20,68.97%
منطقة حائل,بقعاء,2025,الربع الأول,423,81.98%
منطقة حائل,حائل,2025,الربع الأول,"1,026",74.08%
منطقة حائل,سميراء,2025,الربع الأول,27,84.38%
منطقة حائل,موقق,2025,الربع الأول,161,67.93%
منطقة عسير,ابها,2025,الربع الأول,378,74.26%
منطقة عسير,احد رفيده,2025,الربع الأول,78,85.71%
منطقة عسير,البرك,2025,الربع الأول,57,83.82%
منطقة عسير,البشائر,2025,الربع الأول,11,91.67%
منطقة عسير,المجارده,2025,الربع الأول,19,90.48%
منطقة عسير,النماص,2025,الربع الأول,7,100.00%
منطقة عسير,بارق,2025,الربع الأول,31,79.49%
منطقة عسير,باللسمر,2025,الربع الأول,13,92.86%
منطقة عسير,بحر ابو سكينه,2025,الربع الأول,2,100.00%
منطقة عسير,بلقرن,2025,الربع الأول,21,87.50%
منطقة عسير,بيشه,2025,الربع الأول,153,75.37%
منطقة عسير,تثليت,2025,الربع الأول,134,81.21%
منطقة عسير,خميس مشيط,2025,الربع الأول,420,81.55%
منطقة عسير,رجال المع,2025,الربع الأول,33,80.49%
منطقة عسير,سراة عبيده,2025,الربع الأول,32,88.89%
منطقة عسير,طريب,2025,الربع الأول,107,73.79%
منطقة عسير,ظهران الجنوب,2025,الربع الأول,24,82.76%
منطقة عسير,محايل عسير,2025,الربع الأول,111,89.52%
منطقة مكة المكرمه,الجموم,2025,الربع الأول,42,82.35%
منطقة مكة المكرمه,الخرمه,2025,الربع الأول,50,84.75%
منطقة مكة المكرمه,الطائف,2025,الربع الأول,861,80.69%
منطقة مكة المكرمه,العرضيه الجنوبيه,2025,الربع الأول,4,80.00%
منطقة مكة المكرمه,العرضيه الشماليه,2025,الربع الأول,8,80.00%
منطقة مكة المكرمه,القنفذه,2025,الربع الأول,122,66.67%
منطقة مكة المكرمه,الكامل,2025,الربع الأول,11,68.75%
منطقة مكة المكرمه,الليث,2025,الربع الأول,34,79.07%
منطقة مكة المكرمه,المويه,2025,الربع الأول,13,100.00%
منطقة مكة المكرمه,بحره,2025,الربع الأول,58,72.50%
منطقة مكة المكرمه,تربه,2025,الربع الأول,121,85.21%
منطقة مكة المكرمه,جده,2025,الربع الأول,"5,572",71.22%
منطقة مكة المكرمه,خليص,2025,الربع الأول,121,71.60%
منطقة مكة المكرمه,رابغ,2025,الربع الأول,162,79.41%
منطقة مكة المكرمه,رنيه,2025,الربع الأول,56,96.55%
منطقة مكة المكرمه,مكة المكرمة,2025,الربع الأول,"1,401",71.04%
منطقة مكة المكرمه,ميسان,2025,الربع الأول,2,100.00%
منطقة نجران,بدر الجنوب,2025,الربع الأول,1,100.00%
منطقة نجران,ثار,2025,الربع الأول,23,95.83%
منطقة نجران,حبونا,2025,الربع الأول,21,77.78%
منطقة نجران,شروره,2025,الربع الأول,47,83.93%
منطقة نجران,نجران,2025,الربع الأول,483,87.66%
منطقة نجران,يدمه,2025,الربع الأول,39,79.59%
