القائمة الرئيسية   Main List,,,,,,,,,,,,,,, الأرقام القياسية للأسعار       Price Indices
Table 1: Consumer Price Indices By Expenditure Divisions,,,,,,,,,,,,,,,جدول 1: الأرقام القياسية لأسعار المستهلك حسب أقسام الإنفاق
 ( 2023=100 ),,,,,,,,,,,,,,, ( 2023=100 )
متوسط,,الرقم,الاغذية,,الملابس,السكن والمياه والكهرباء,الأثاث والأجهزة المنزلية,الصحة,النقل ,المعلومات,الترفيه والرياضة,خدمات ,المطاعم,التأمين,العناية الشخصية والحماية الاجتماعية
الفترة,,القياسي,والمشروبات,التبغ,والاحذية, والغاز و أنواع وقود أخرى,والصيانة الدورية للمنزل,,,والاتصالات, والثقافة,التعليم,وخدمات الإقامة,والخدمات المالية, والسلع والخدمات الأخرى
,,العام,Food ,Tobacco,Clothing  ,"Housing , Water, Electricity, Gas, and other fuels","Furnishings, Household Equipment and Routine Household Maintenance",Health,Transport,Information,"Recreation, Sport and Culture",Education Services,Restaurants and Accommodation Services,Insurance and Financial Services,"Personal Care, Social Protection and Miscellaneous Goods and Services"
Period,,General,and,Toobcco,and,,,,, and ,,Education,Restaurants and Hotels,,
Average,,Index, beverages,,Footwear,,,,,Communication,,,,,
,,,,Toobcco,,,,,,,,Education,Restaurants and Hotels,,
Q3,2018,91.185725568166006,81.193329653511896,88.387041947089912,101.03864549900101,103.38348542154831,89.479114324142202,95.922614819410683,83.212060989891427,91.147299594427594,87.348876177930208,94.73451526425697,81.848361958986928,83.063527789291228,89.810243898246711
Q4,2018,90.567919424771375,81.458270626972009,88.443972446072607,100.67828631055266,101.03563344177201,89.350137462306421,95.420564827002678,83.001040707850905,90.729772350275837,86.045815193709316,95.09275617863689,81.525182631176932,83.237397220877796,90.10340209451914
Q1,2019,89.244321005340694,81.829140519999797,88.6831048914447,100.36600016667535,95.388573504183967,89.277007293976638,94.943443264452867,82.418455609508996,90.065927946981958,84.625432695073869,95.673434475116821,82.783409946842838,83.425908111410266,90.416356505880458
Q2,2019,89.191011446785936,82.109412505531964,88.522605668496965,100.79317151539867,94.192138822539775,89.316321136722891,94.84315854636047,83.254587449058235,89.898231047596482,85.373523371955841,96.020227176671781,83.206908186888867,83.469788474304735,90.803937594075862
Q3,2019,89.589045668216158,82.722280310100601,88.421995028889441,100.47752326204973,93.626148481098596,90.777398273605797,95.261073288818963,83.95033259916174,89.813876622810426,87.666137853587301,96.555726056216557,84.157448007689567,83.643087726265591,92.678942471597864
Q4,2019,89.685880204200302,83.493166024911247,88.470048132266825,99.824518335205269,93.389640667710069,91.166136688458039,95.284958508440866,83.500612388237698,89.687164713941272,86.710694240577709,97.626723815306093,84.363690181958432,83.680057222527452,93.419472819073079
Q1,2020,89.956783497709623,84.107194607619093,89.239029728060743,99.711925377818957,93.884381756890662,91.299910838214942,95.382769749101797,83.628827397744701,89.502725166712239,86.674178135212671,97.66009374745947,84.429394210729697,83.785537479099858,93.715291786786381
Q2,2020,89.61967376035274,86.7060711509274,88.810198646208391,99.835848043743724,93.064618322768993,91.950565880768679,95.69975802976559,78.2403641086878,89.331899068029543,85.624022937946037,97.684615778740479,83.828930073489872,83.367534295224161,93.580891876926714
Q3,2020,94.862591742120102,93.449563002443753,99.137920091215207,106.13395088511368,93.972219273730289,99.964759849257106,98.489729069168845,87.995629106586193,98.326957119815759,86.615048875441801,94.551602883819854,90.66812599855183,94.841365189549265,99.158815254830657
Q4,2020,94.670611745683445,93.983332568376895,99.385219510978004,106.09458412002,93.303731613019067,100.09622507531867,98.867956784093209,88.51057042474288,99.318832626185895,85.685264716890899,88.042641378650202,91.009356923274481,96.755165576269192,99.093202697363267
Q1,2021,94.543873995852792,93.231509578678256,99.553271907630531,104.906295792386,92.161888224603288,100.15516387064152,98.719502235655227,90.773249862169735,101.08299637349766,86.794806240393811,86.755332928748388,90.987185873671748,96.233140159533377,99.248190018624555
Q2,2021,94.826340323130992,93.726657237865638,99.672202827309562,105.07076475812867,91.23956040020262,100.69504753521433,98.615523733391271,94.003296301828314,100.88806448073133,87.875792337098403,87.409974036424401,91.186728706670308,95.961350641110201,99.106442472048641
Q3,2021,95.339709771247968,95.125657213277535,99.539518990772805,105.15802003969799,90.792462518049334,100.69498928625633,98.670154913978465,95.888168400010628,100.638034542992,89.617595472070093,89.766116059099815,91.577084434333827,95.015465622400029,99.507983141736929
Q4,2021,95.952710479536734,95.253424766683949,99.542335834215237,105.05507754089933,91.627278785724613,100.65938236536734,98.435182768186394,96.087181830186069,100.99630912893866,93.788670496969573,94.047208767146401,92.027535312780344,94.724458400753505,99.33261941389776
Q1,2022,96.285127724027973,95.730539467875303,99.52139013091103,104.07162769084,91.539323770696569,100.69024168960334,98.515855229498939,97.192232241927059,101.39205951350134,96.261898404456701,94.931205184735504,92.845872632052362,94.1252114974086,99.601483474829365
Q2,2022,97.025550979180764,98.201729501841143,99.448776881794672,104.08885947874568,91.628290810157253,100.91246054256668,98.797273131166676,98.13308476275391,100.74246290412532,98.596313220788161,95.163779228481999,94.641384287803021,94.513534016523863,99.7253419999887
Q3,2022,98.074119644250672,99.584456659767497,99.526782798922525,103.91718606136233,92.964047824555124,101.13774910632901,98.794202412824362,99.143338263640302,100.46216919960699,103.19830810568567,96.149101946581595,97.546963336659203,94.407345545660746,99.603804474217327
Q4,2022,98.962515125558028,99.872021078751274,99.57207060851637,102.93093135863533,95.637455658781036,100.57702699455267,98.88483020623967,98.98523715281938,101.29609828535634,100.14473168476188,99.229385516535288,98.81012646513777,96.446440581314661,99.657558829256573
Q1,2023,99.435230650217306,99.557567123566898,99.787109471187406,101.186146206445,97.947524062968398,100.01630563952229,99.750670638850195,99.303301410948663,100.68078346115067,99.805619127576691,99.262458593724702,99.41216496322977,101.11287740544346,99.69850252988401
Q2,2023,99.783961542128296,99.539980958384035,99.850811888331734,101.18522118964768,99.312814590610728,100.24216491005166,100.36279196814932,99.496788315491827,100.28130497760367,101.39779228603935,99.349430276962707,98.66488132026906,101.14455170250272,100.78350374368767
Q3,2023,100.15498802458166,100.08914564403987,100.15433900004147,99.584724795778911,100.70130242465267,100.00210724928807,99.733111413540925,100.545425297108,99.77455810111212,99.709159618540255,100.19051620919301,100.2214239438449,98.733279297028858,99.841578559986374
Q4,2023,100.62996570081934,100.81926253129166,100.20886047266123,98.080381595681772,102.08995017089467,99.740366628671339,100.15499192945833,100.66351717673399,99.269609979888003,99.105373099647068,101.209895615327,101.74227995214666,99.070375037871429,99.681761518998258
Q1,2024,100.92639625204599,100.45664268017852,98.904682934652101,96.750726126324366,103.57873843348868,99.601765761475193,100.450314882158,100.58083921737699,99.0570261287873,100.35832271268249,101.55167758584599,103.20200073696901,98.886459584525554,100.28624162568799
Q2,2024,101.409541581746,100.75182054377967,98.853168718599591,97.1625789842128,105.063649114922,98.978820416219705,100.11899433359501,101.01815967519934,98.413134403291565,100.51054562342567,101.57627916455199,104.15805508126334,97.586650369826103,102.50508633547933
Q3,2024,101.55545014621434,100.74962392992934,98.946538651127511,96.755249757713457,107.39791298293467,98.427720223377662,99.857019897615373,99.848393873951821,98.086296242105774,100.88073885764733,101.190571108675,104.05650497295699,97.777619747131169,102.66122494706667
Q4,2024,102.116742499171,100.90233684964166,98.750523225587401,96.362865524888619,109.93090557646734,98.053926469999567,99.590601627958392,99.419077299440232,97.756651078608627,101.44323339826734,100.911452322608,105.33633293744867,99.645713914489932,103.80445019797367
Q1,2025,102.76010201436134,101.308442514666,99.273174557589527,96.558988775383497,111.25761285155033,98.175517036405608,99.719958270406593,99.99946890854271,97.382768764638527,102.51621440862,100.94969093382234,105.61920494328801,103.389052640982,104.75990149636199
Q2,2025,103.47942961486933,101.88367029773099,99.388528502159389,96.841233991484373,112.44992789990732,98.071601899972777,99.749151665713654,100.60871104148833,97.541471039739932,103.57993501052401,101.11614121422099,106.47045981664932,104.42132775443532,107.03371740582833
Q3,2025,103.82552905741966,101.817359903183,99.522400412430372,96.82056773606412,113.53837741027569,97.925254925131298,99.773312842423636,101.08375581829567,97.693612505424653,103.87569251017133,101.87230852534867,106.28848778074068,105.67017297132099,107.8761305924
Q4,2025,104.20785636491667,102.29068414097701,99.702178690276071,96.698846675339368,114.65676349738901,97.789874418353335,99.815921772073537,100.96057739877632,97.807418596887644,103.50245099491667,102.38530311007766,105.852132963342,105.40221744467767,110.53877602514467
41305,,84.634418294283805,76.3555736906725,46.915831277756197,112.041793968782,93.742545046852996,86.565057097801599,86.179583872465102,73.361901003540396,91.007997290542903,72.651264038862493,87.331574418979201,72.914990633863098,75.435692090927304,87.461973071444405
41333,,84.443172584489403,76.158736073089599,46.908667350960798,111.97849027142099,93.773731370183,86.625384198747,86.169388369363304,73.232627036382198,91.017439405826806,72.573401700419396,87.331574418979201,72.7191193633751,64.401118158818505,87.008441523716201
41364,,84.431756533825805,76.219141449317803,46.924909806342697,111.94804716581601,93.784118864407006,86.870697702030498,86.182102146573897,73.239609925470205,90.793677664011199,72.347981151055805,87.331574418979201,72.431867094104902,64.401118158818505,86.996133049301605
41394,,84.453142243304697,76.456251748016101,46.696948358107697,111.795382375727,93.784792269391005,86.820387134976798,86.353589202450905,73.349573595036404,90.597532503053898,71.440529054312805,87.331574418979201,72.365137943036402,64.401118158818505,87.109085044475293
41425,,84.442363072744001,76.477293902370604,46.696948358107697,111.964722832821,93.784644834805107,86.977073340553403,86.393038965191494,73.112458199057201,90.682592603707306,71.398899211568704,87.331574418979201,72.5248917900973,64.401118158818505,87.012006935589994
41455,,84.459072308794802,76.505594592167796,46.987615469180099,112.39957616656299,93.784358082658002,86.507683892121804,86.413793294672402,73.030972957399499,90.614775855384096,71.517595354603699,87.331574418979201,73.132402142150994,64.401118158818505,86.960888412514194
41486,,84.837575569809005,77.010866899724505,46.749097950208899,112.508259808847,94.662618369365902,86.057247676744694,86.188927199293005,73.301595015687397,90.768946163817006,72.493072229084405,87.331574418979201,73.205769469896694,65.295072293546397,87.0420288806109
41517,,84.789259824003693,77.080010634065601,47.062961378041798,112.83072851185401,94.365043091401802,86.783419042297496,86.167252986624803,73.097824081865696,90.667971812365195,72.611399367065403,87.331574418979201,73.595872997389307,64.279696417567607,86.638057850147106
41547,,84.896242159676206,77.616051182384297,47.303080553955503,112.741337664984,94.449468771319701,86.307977073053905,86.123278642770302,72.767378544497106,90.556063691663198,72.591814899754993,87.331574418979201,73.372977437001794,64.279696417567607,87.469732875286397
41578,,85.000362763384601,77.413432900654797,47.1044115711126,112.80956097434699,94.554965241995603,86.863685267229499,86.3728000948296,72.875471216815697,90.3337435706825,71.792703683572398,92.043612582439806,72.846545298369705,64.279696417567607,87.607840704860095
41608,,85.157631570987704,77.407210762437998,48.1182002964267,112.828789589154,94.926143783556,86.900554824273797,86.357087033645797,73.198293255485495,90.562731225769099,71.667360935752299,92.043612582439806,72.980501595523904,64.279696417567607,87.509789263658902
41639,,85.248623114209906,77.170478634389696,48.434903299507397,112.63703124487,95.640425452854302,87.069715487570903,86.403472972724799,73.090211145350906,90.318420208709696,71.693701002158505,92.043612582439806,72.870736712424502,64.279696417567607,87.571335130353901
41670,,85.583427565206193,77.410064398218196,49.002445712115303,112.279134654508,96.657822839362296,87.352069186719405,86.738250064639999,73.166571144158695,89.967480017450796,71.771921105519397,92.043612562902496,73.426972361255594,64.890461030511702,87.572910390296201
41698,,85.717801119635695,77.283797946399105,49.273579391045999,112.40447205533999,97.238311175114006,87.4983089310183,86.683324256729406,73.430094014045494,89.996187144850893,71.039531089129397,92.043612562902496,73.246282465847599,64.281652801272699,87.707101279644306
