القائمة الرئيسية   Main List,,,,,,قائمة شركات التمويل       Finance Companies 
Table 7: Residential New Mortgages Finance For Individuals Provided by Finance Companies,,,,,,جدول 7:التمويل العقاري السكني الجديد للأفراد المقدم من شركات التمويل
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total
,,, (Million SAR مليون ريال ),,,
44895,,331,127.95800936000001,131.35347569999999,11.625686699999999,270.93717175999996
44926,,370,111.33482401000001,159.33025040000001,9.0444499999999994,279.70952441000003
44957,,430,116.42870214,172.65679410000001,21.406428179999999,310.49192442000003
44985,,335,108.29721604,140.83172468000001,35.09016475,284.21910547000004
45016,,281,97.096138280000005,105.99245845,24.533624249999999,227.62222098000001
45046,,179,61.898875670000002,72.484082099999995,32.336036450000002,166.71899422000001
45077,,249,96.034715500000004,103.89563108,34.592931999999998,234.52327858000001
45107,,210,72.563634989999997,92.635066899999998,33.172052999999998,198.37075489
45138,,229,97.020131039999995,82.249204410000004,13.782882000000001,193.05221745
45169,,374,106.27672809000001,176.52873862000001,23.780923999999999,306.58639071000005
45199,,280,101.107147,106.55985182000001,57.296070630000003,264.96306945000003
45230,,362,105.311137,157.60093144000001,25.933499999999999,288.84556844000002
45260,,319,93.040181140000001,129.66399695000001,86.858166999999995,309.56234509000001
45291,,346,102.34224272,140.10027886,29.363136000000001,271.80565758
45322,,335,127.50538231,139.26164209999999,6.254683,273.02170740999998
45351,,302,83.1005854,115.321411,69.738876000000005,268.16087240000002
45382,,272,94.156960940000005,96.018179700000005,35.264927999999998,225.44006863999999
45412,,175,71.762254999999996,58.365083400000003,13.145082,143.27242039999999
45443,,292,113.153194,120.44062345,18.619720900000001,252.21353834999999
45473,,187,70.625922000000003,71.582316000000006,18.277999999999999,160.48623800000001
45504,,227,87.587907110000003,85.963492149999993,19.643699999999999,193.19509926000001
45535,,203,73.912792449999998,78.392148349999999,8.3912650000000006,160.6962058
45565,,239,49.395384999999997,107.32053625,45.079476,201.79539725000001
45596,,298,94.261248839999993,116.42959775,43.730766000000003,254.42161259
45626,,232,69.226954399999997,99.252129800000006,32.310184800000002,200.78926899999999
45657,,262,110,112,13,235
45688,,280,38.124237999999998,157.37483089,28.732980999999999,224.23204988999998
45716,,194,67.733452470000003,89.575357049999994,40.308503000000002,197.61731251999998
45747,,233,68.834729999999993,100.04320656,27.833776,196.71171256
45777,,224,72.681915549999999,109.89889176,31.218454000000001,213.79926130999999
45808,,203,69.583810560000003,98.190804749999998,23.0950934,190.86970871
45838,,173,54.570855850000001,73.667154260000004,40.581324000000002,168.81933411
45869,,215,63.797058640000003,102.27169476,19.154,185.22275339999999
45900,,223,67.739504120000007,92.900447369999995,6.748265,167.38821648999999
45930,,228,79.560316740000005,99.766390279999996,26.621697040000001,205.94840406
45961,,275,64,114,39,217
45991,,285,145.85106678,124.47987025,30.346094999999998,300.67703202999996
46022,,260,74.098781990000006,114.2479056,30.604500000000002,218.95118759000002
46053,,222,75.833962749999998,92.419014050000001,7.9379999999999997,176.19097679999999
46081,,267,103.37655555000001,111.22698253,26.256367000000001,240.85990508000003
Note:  - The data do not include the amount of interest on financing.,,,,,,ملاحظة: - البيانات لا تشمل مبلغ الفائدة على التمويل.
