القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
Table 12f: Residential New Mortgages Finance for Individuals Provided by Banks,,,,,,جدول 12f: التمويل العقاري السكني الجديد للأفراد المقدم من المصارف
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total
,,, (Million SAR مليون ريال ),,,
44651,,18999,9223.8617483399903,2955.8153573899999,3096.0972901599998,15275.774395889999
44681,,11255,5901.8857380789996,1707.11364643,1610.4302307999999,9219.4296153089999
44712,,10943,6784.9657744399801,1604.62543218,420.44269408999901,8810.0339010000007
44742,,16487,9415.0232927789802,3167.2209469300001,539.95888391899996,13122.20312362798
44773,,9047,5392.1334301890101,1513.816244249,282.59137757000002,7188.5410520080104
44804,,16255,8606.7248311640196,3617.6453752349998,472.36631746,12696.736523859021
44834,,12902,6708.4317107849902,2824.7089420299999,396.48727959000001,9929.6279324049883
44865,,12397,6189.937355651,2717.412166219,444.59536608000002,9351.9448879500014
44895,,9785,5127.3594425690098,1878.8584073280001,380.07506941999998,7386.2929193170094
44926,,8265,4397.3877799790098,1648.4744421390001,312.70297092999999,6358.5651930480108
44957,,11113,5645.3190004489998,2314.9669058680001,412.5751027,8372.8610090170005
44985,,9574,4964.27184523099,1823.338442561,350.84611689000002,7138.4564046819905
45016,,9526,5048.2595882880096,1745.3328707190001,457.09992033499998,7250.6923793420101
45046,,5270,2781.31664344,1050.1570333110001,314.42360589999998,4145.8972826509998
45077,,8888,4683.9637809690003,1733.9135068057001,382.94372105899998,6800.8210088337009
45107,,7615,4243.5372674999999,1428.8570855,296.51354718900001,5968.9079001889995
45138,,7058,3896.9033336999901,1226.3487042100001,301.38915171999997,5424.6411896299896
45169,,9054,4966.5151377100001,1776.0725433990001,399.13434411999998,7141.7220252289999
45199,,7767,3977.94601547,1562.6319562199999,296.56003679999998,5837.1380084899993
45230,,9177,4455.4934957589903,1943.385732709,366.89948203,6765.7787104979907
45260,,9164,4362.7700094600004,1964.2914264589999,327.96509661900001,6655.0265325380005
45291,,8647,4306.9423554200002,1675.936153759,254.57984435,6237.4583535290003
45322,,10505,5132.3650797,1966.63045231,439.73201211000003,7538.7275441199999
45351,,9504,4528.8332759100103,1979.5450361799999,432.90251125999998,6941.28082335001
45382,,10320,4911.6567417200004,2237.3584823299998,473.908836449999,7622.9240604999995
45412,,7085,3681.1691197800001,1388.8687470699999,270.47822669999999,5340.5160935499998
45443,,10123,5113.6416322100004,2152.6967183299998,407.99114578000001,7674.3294963199996
45473,,7274,3427.4877322799998,1616.411894738,263.48613864999999,5307.3857656679993
45504,,9605,4380.3995587099998,2262.12601937,429.31689713999998,7071.8424752199999
45535,,9109,3790.8536719899998,2445.7466725499999,361.90242272,6598.5027672599999
45565,,9321,3883.2588902000002,2539.8317884990001,396.88813189000001,6819.9788105890002
45596,,11020,4828.3598763399996,2855.2271283700002,457.97163739000001,8141.5586420999998
45626,,13142,6501.6219221700103,3154.6157348500001,407.82690454999999,10064.06456157001
45657,,15294,8120,3486,335,11941
45688,,13411,6637.7408633799896,3350.6799755100001,475.30321149000002,10463.724050379989
45716,,11757,5572.9402265500003,2899.0722636300002,435.53308126000002,8907.5455714400014
45747,,11112,5185.7592749699998,2798.1294127800002,414.79170886000003,8398.6803966099997
