Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
  المؤشر العقاري للأحياء بمدينة جدة  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,
,,,,,,,,,,,,
المدينة,جده,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات
فبراير,,,,2032361,717.26,1,13059780,4353.26,1,1200000,668.67,1
مارس,2880200,992.76,3,1150000,333.5,1,,,,,,
ابريل,,,,2300000,879.46,2,,,,,,
مايو,22076630,4118.78,6,3281000,1637.48,3,,,,,,
يونيو,,,,1100000,300,1,1070000,600,1,,,
يوليو,480000,129.96,1,,,,1450000,703.04,2,,,
اوغسطس,1805000,842.62,2,721000,840,1,,,,,,
سبتمبر,3302000,2845.79,4,,,,1238400,535.66,1,,,
اكتوبر,4400000,1947.05,3,2966556,1496.2,2,1900000,1118,2,,,
نوفمبر,877500,600,1,,,,,,,,,
ديسمبر,,,,2736000,1511.26,2,1300000,648.76,1,,,
حي/الامير فواز بن عبدالعزيز,43264830,28765.95,31,28307266,19800,22,27725458,25029.33,18,9318053,6300,7
يناير,,,,,,,4850000,2700,3,1350000,900,1
فبراير,6697000,5400,6,2500000,900,1,,,,1000000,900,1
مارس,2520000,1800,2,1700000,1800,2,,,,5650000,3600,4
ابريل,6612830,4500,5,5100000,3600,4,1450000,900,1,1318053,900,1
مايو,3800000,3595.5,4,3240000,900,1,,,,,,
يونيو,,,,2870000,1800,2,2540000,1800,2,,,
يوليو,2400000,1795.5,2,2550000,1800,2,,,,,,
اوغسطس,500000,900,1,4570713,3600,4,4224986,3600,4,,,
سبتمبر,1000000,900,1,,,,2560468,2700,3,,,
اكتوبر,9235000,6300,7,476553,900,1,2650000,1800,2,,,
نوفمبر,2000000,900,1,1500000,900,1,1450004,1800,2,,,
ديسمبر,8500000,2674.95,2,3800000,3600,4,8000000,9729.33,1,,,
حي/الاندلس,279050000,31539.02,26,1493002440,29912,15,126096571,19198.16,12,18355738,4341.905,8
يناير,4480000,1096.5,2,,,,2100000,888,1,750000,750,2
فبراير,20100000,5900,7,197656000,10195.6,4,9200000,2500,1,7623000,2241,3
مارس,3200000,2083.5,3,23621011,3301,3,3100000,1071,2,8232738,1131,2
ابريل,4200000,1263,2,2000000,713,1,,,,1750000,219.905,1
مايو,7600000,1799.5,3,1000000000,2992.4,1,,,,,,
يونيو,3050000,450,1,3588000,690,1,2000000,840,1,,,
يوليو,18800000,5528,2,7350000,1500,1,2250000,1475,2,,,
اوغسطس,11720000,1729.77,1,100000,737.5,1,2500000,660,1,,,
سبتمبر,4000000,690,1,,,,,,,,,
اكتوبر,179000000,8078.75,1,,,,1428571,763,1,,,
نوفمبر,2500000,805,1,100000,670.5,1,103518000,11001.16,3,,,
ديسمبر,20400000,2115,2,258587429,9112,2,,,,,,
حي/البحيرات,71094193,106818.93,121,142752923,195133.55,208,221472282,296446.44,293,120036624,116633.05,127
يناير,1560000,3370.5,4,12692000,17532.9,23,18165567,24257.28,31,38630000,35753.43,33
فبراير,6333479,10838.95,11,7531250,10658.61,13,18937500,22617.36,28,35087624,34505.28,37
مارس,12359188,8511.12,10,9331000,13420,16,8737858,9855.63,12,31654500,31566.32,38
ابريل,9923685,11950.93,12,6310081,9435.56,12,450000,463.61,1,14664500,14808.02,19
مايو,2987500,6120.68,7,9652866,16044.39,19,600000,900,1,,,
يونيو,1750000,3370.5,4,18330000,28994.5,14,41220586,74579.61,45,,,
يوليو,3317676,7762,9,21219500,28527.56,31,2970000,4788.18,7,,,
اوغسطس,3842500,6455.5,7,5530000,7088.9,9,23103126,38514.11,20,,,
سبتمبر,730000,895.5,1,11690000,12941.75,17,8340000,8026.73,11,,,
اكتوبر,5963153,9481.84,11,19525226,25478.98,28,18734292,20331.06,26,,,
نوفمبر,8880000,15236.46,18,8390000,12165,11,48895853,60179.07,71,,,
ديسمبر,13447012,22824.95,27,12551000,12845.4,15,31317500,31933.8,40,,,
حي/البخارية,440000,182.7,2,590000,401.86,2,1160000,1047.13,3,400000,94.78,1
يناير,,,,,,,600000,290.04,1,,,
مارس,100000,69.84,1,,,,,,,400000,94.78,1
يوليو,,,,,,,360000,516.56,1,,,
اوغسطس,340000,112.86,1,300000,289,1,,,,,,
سبتمبر,,,,290000,112.86,1,,,,,,
ديسمبر,,,,,,,200000,240.53,1,,,
حي/البدو,845000,761,2,,,,2500000,780,2,,,
اكتوبر,845000,761,2,,,,1300000,400,1,,,
نوفمبر,,,,,,,1200000,380,1,,,
حي/البساتين,184828453,57142.941,92,137662826,42478.68,75,332921428,75363.78,117,111911669,26326.31,36
يناير,16150000,4045.5,7,14151755,3873.27,8,35049312,7740.51,12,25235238,5960.5,9
فبراير,14744922,3728.55,7,6995000,3180.75,6,34878960,8835.7,15,34235300,8262.54,10
مارس,17129916,10591.54,7,5678059,1915.5,3,8900000,1573.9,4,52441131,12103.27,17
ابريل,14591500,3170.461,6,25137508,6088.29,11,,,,,,
مايو,26092769,6461.03,13,5240627,2210.75,5,3500000,645.5,1,,,
يونيو,13663811,3333.41,4,1458000,1645.66,2,88005113,15797.79,25,,,
يوليو,18143758,4419.03,7,8298685,1739,3,11972500,3303.65,5,,,
اوغسطس,12107058,4197,8,2000000,1380,2,29826531,7657.5,12,,,
سبتمبر,4973389,1290.63,4,5339625,1946.62,4,17454366,4235.39,8,,,
اكتوبر,16012601,6752.83,13,9782871,3345.65,6,49702280,12297.37,14,,,
نوفمبر,21503060,5899.64,9,17386493,6637.19,12,20087687,5548.36,9,,,
ديسمبر,9715669,3253.32,7,36194203,8516,13,33544679,7728.11,12,,,
حي/البساتين غرب طريق المدينة الجديد كيلو 27/25,,,,3100000,345,1,,,,,,
اوغسطس,,,,3100000,345,1,,,,,,
حي/البشائر,82193468,303959.1,445,308463141,840481.36,1288,226406219,615670.57,954,74671918,96868.68,173
يناير,1000000,900,1,21713000,52181.07,78,26346629,112938.43,170,14616000,19860.55,34
فبراير,1087500,2775,4,27473892,74123.47,113,22661750,42016.94,66,28278918,36561.71,66
مارس,350000,7495.5,12,33562360,97885.74,150,14958500,95103.9,130,26967000,34562.75,62
ابريل,10450000,38101.31,61,19617000,45630.11,71,1380000,16679.35,24,4810000,5883.67,11
مايو,11163000,35650,43,25901500,65442.2,99,804250,3013.39,5,,,
يونيو,590000,900,1,21800794,58968.14,92,26320238,53453.03,83,,,
يوليو,3424378,16176.5,20,35321661,86991.1,134,15326160,36224.37,56,,,
اوغسطس,3795000,8468.01,11,11238500,12014,18,4940350,14881.75,26,,,
سبتمبر,4970209,12830.75,18,35080000,58034.19,85,6811250,22882.05,35,,,
اكتوبر,3710000,4901.5,6,44633734,130613.93,203,39461000,106532.79,171,,,
نوفمبر,13598382,68243.81,101,17536200,47873.55,77,34974966,59782.98,100,,,
ديسمبر,28054999,107516.72,167,14584500,110723.86,168,32421126,52161.59,88,,,
حي/البغدادية,19150000,11383.25,11,25102308,6658.26,15,13500000,3834.94,9,23104680,5889.58,5
يناير,1000000,2533.5,1,50000,108.13,1,600000,172.63,1,10000000,1750,1
فبراير,500000,209.93,1,5541638,731.38,1,,,,,,
مارس,2000000,625,1,2639920,1137.93,3,,,,1870000,675,1
ابريل,500000,225.83,1,,,,,,,11234680,3464.58,3
مايو,,,,,,,5000000,960.5,1,,,
يونيو,,,,1200000,400,1,3590000,2263.62,6,,,
يوليو,120000,86,1,160000,75.6,1,,,,,,
سبتمبر,450000,338.63,2,505000,486.88,3,,,,,,
اكتوبر,3000000,1433.64,2,7987500,1567.1,2,,,,,,
نوفمبر,11580000,5930.72,2,6918250,2007.24,2,4310000,438.19,1,,,
ديسمبر,,,,100000,144,1,,,,,,
حي/البغدادية الشرقية,16500000,4813.65,5,10560000,3324.68,6,60699000,20812.44,10,1000000,214.66,1
فبراير,,,,540000,432.81,1,750000,183.3,1,1000000,214.66,1
مارس,5500000,475.25,1,100000,344.06,1,,,,,,
مايو,7500000,2683.78,1,,,,750000,270.6,1,,,
يونيو,,,,,,,30500000,14777.26,4,,,
يوليو,,,,6500000,1877.37,2,,,,,,
اوغسطس,,,,,,,180000,90.72,1,,,
سبتمبر,,,,3420000,670.44,2,2419000,2699.92,1,,,
نوفمبر,1500000,760.37,1,,,,,,,,,
ديسمبر,2000000,894.25,2,,,,26100000,2790.64,2,,,
حي/البغدادية الغربية,135525329,37693.86,110,75430197,19663.15,74,45880482,20508.36,44,31746852,10453.39,13
يناير,2701410,607.74,5,6262542,1842.12,13,4090000,1127.71,5,945000,2747.84,3
فبراير,4955000,1723.72,8,12072989,3885.71,19,395000,114.51,1,11535852,3202.67,4
مارس,13926428,5472.78,39,6160000,1578.02,12,1120390,210.84,2,19266000,4502.88,6
ابريل,22035100,2779.85,9,32422579,6706.35,8,,,,,,
مايو,8964390,2434.76,11,4800000,2672.86,3,1043950,216.36,2,,,
يونيو,1150000,263.2,2,1645000,398.02,3,17278081,8642.54,8,,,
يوليو,24410000,9147.52,6,1525000,341.67,3,4185440,703.49,4,,,
اوغسطس,39264149,11369.61,9,1372512,345.9,3,3423115,1063.9,8,,,
سبتمبر,8750000,1694.28,5,1700000,524.64,3,2689376,818.57,4,,,
اكتوبر,2741000,646.9,5,970000,216.36,2,350000,335.34,3,,,
نوفمبر,3360000,964.43,6,1920000,406,4,1805130,2995.19,4,,,
ديسمبر,3267852,589.07,5,4579575,745.5,1,9500000,4279.91,3,,,
حي/البلد,158186557,4060.85,8,16945000,4812.039,14,13870000,3430.31,9,980300,950.38,3
يناير,,,,200000,127.3,1,750000,651.12,1,500000,742.71,1
فبراير,1000000,208,1,,,,,,,,,
مارس,,,,3000000,2630.44,2,,,,300300,133.38,1
ابريل,102118603,1344,1,,,,,,,180000,74.29,1
مايو,400000,117.47,1,,,,,,,,,
يونيو,,,,400000,164.361,2,12720000,1883.69,7,,,
يوليو,50000,100,1,4530000,611.24,3,,,,,,
اوغسطس,,,,90000,63.8,1,,,,,,
سبتمبر,,,,6675000,223.488,3,,,,,,
اكتوبر,100000,185,1,,,,,,,,,
نوفمبر,54517954,2106.38,3,50000,63.8,1,400000,895.5,1,,,
ديسمبر,,,,2000000,927.61,1,,,,,,
حي/البلد 2,,,,,,,,,,10000,1727.41,1
مارس,,,,,,,,,,10000,1727.41,1
حي/البوادر,,,,296000,2127.5,3,3750000,27174.5,34,4135750,21979.5,30
يناير,,,,,,,100000,900,1,980000,6067.5,8
فبراير,,,,,,,,,,875000,5115.5,6
مارس,,,,,,,,,,1579250,7926.5,11
ابريل,,,,,,,,,,701500,2870,5
يونيو,,,,,,,475000,2467.5,1,,,
يوليو,,,,,,,95000,900,1,,,
سبتمبر,,,,,,,942000,5407,7,,,
اكتوبر,,,,,,,280000,2480,4,,,
نوفمبر,,,,170000,887.5,1,798000,6017,8,,,
ديسمبر,,,,126000,1240,2,1060000,9003,12,,,
حي/البوادى,202947644,44177.7,76,316339459,67835.02,113,222129927,58981.432,175,90843306,25742.555,80
يناير,29602497,5458.49,11,24254000,5509.5,10,24760000,8198.77,22,21655000,6023.92,22
فبراير,11090000,3248.63,7,5518742,1119.2,4,33518255,9221.69,24,19362485,8210.025,26
مارس,3010000,1600.16,4,69975529,12656.21,9,17208000,3948.79,10,20665000,5123.69,19
ابريل,25983495,3635,6,30386001,6825.16,15,2870000,755.29,3,29160821,6384.92,13
مايو,2450000,1516.18,4,42441616,9116.4,11,1301353,346.49,3,,,
يونيو,5975000,1621.35,4,5900000,1280,3,41291999,10289.28,28,,,
يوليو,19025000,3580,7,29700000,5619.18,10,2885000,1057.352,7,,,
اوغسطس,10130000,2911.5,5,11434999,3120.5,10,13973000,2522.22,13,,,
سبتمبر,5300000,2077.5,4,59373572,12268.43,11,22032073,6307.68,15,,,
اكتوبر,65407021,11156.55,7,3050000,638.75,2,24143747,6514.54,15,,,
نوفمبر,5702917,2394.4,5,16100000,3904.2,11,22976500,5393.38,20,,,
ديسمبر,19271714,4977.94,12,18205000,5777.49,17,15170000,4425.95,15,,,
حي/البيان,,,,,,,1981000,17744.7,20,3430000,19763.51,22
يناير,,,,,,,,,,1440000,9000,10
فبراير,,,,,,,,,,770000,3622.18,4
مارس,,,,,,,,,,920000,4522.18,5
ابريل,,,,,,,,,,300000,2619.15,3
اوغسطس,,,,,,,170000,887.5,1,,,
اكتوبر,,,,,,,80000,2627.4,3,,,
نوفمبر,,,,,,,931000,6129.8,7,,,
ديسمبر,,,,,,,800000,8100,9,,,
حي/التوفيق,100000,670.5,1,1700000,3511.2,1,2413750,1950,3,1600000,704.47,1
يناير,,,,1700000,3511.2,1,,,,,,
فبراير,,,,,,,,,,1600000,704.47,1
اوغسطس,100000,670.5,1,,,,1153750,1300,2,,,
اكتوبر,,,,,,,1260000,650,1,,,
حي/الثعالبه,9192000,3562.31,10,2516000,2524.09,4,5993000,1856.48,11,7455000,3302.91,6
يناير,,,,,,,290000,180.12,1,145000,74.6,1
فبراير,,,,,,,,,,6900000,2571.56,1
مارس,182000,180.8,2,,,,4400000,668.07,1,80000,51.84,1
ابريل,,,,,,,,,,330000,604.91,3
مايو,300000,98.7,1,,,,,,,,,
يونيو,,,,1400000,840.25,2,500000,307,3,,,
يوليو,960000,310.02,3,1000000,1602,1,,,,,,
اوغسطس,650000,495,2,,,,100000,97.83,1,,,
سبتمبر,,,,,,,418000,317.37,2,,,
اكتوبر,7100000,2477.79,2,,,,35000,97.75,1,,,
نوفمبر,,,,116000,81.84,1,150000,111.34,1,,,
ديسمبر,,,,,,,100000,77,1,,,
حي/الثغر,35930545,15585.61,30,42694597,17925.45,33,10220000,5800.83,18,5665000,3155.98,9
يناير,2600000,2152.01,6,2324222,2023.29,4,1200000,529,1,895000,806.05,4
فبراير,254545,625,1,1368406,1387.32,4,1100000,350.95,2,820000,312.5,1
مارس,1330000,967.8,3,2730000,2542.06,6,,,,2400000,988.09,3
