المؤشر العقاري لمدينة المدينة المنورة  في عام 2018 و2019 و2020 و 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
المدينة,المدينة المنورة,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
يونيو,سكني,معرض/محل,,,,,,,900000,3952.135,6,,,
يونيو,سكني,بيت,13792334,3121.64,12,24353155,19146.12,14,7702000,12829.06,21,,,
يونيو,سكني,أرض زراعية,700000,4061.1,1,,,,130000,5899.09,1,,,
يونيو,تجاري,,10560164,15354.72,24,50637953,46187.5775,57,164990825,152625.419,151,,,
يونيو,تجاري,قطعة أرض,10510164,15091,23,50637953,46187.5775,57,162465825,151342.159,148,,,
يونيو,تجاري,فيلا,,,,,,,2025000,883.26,2,,,
يونيو,تجاري,شقة,,,,,,,500000,400,1,,,
يونيو,تجاري,بيت,50000,263.72,1,,,,,,,,,
يونيو,زراعي,,11062000,41385.87,3,36054156,182213.1112,11,140550944,276091.07,18,,,
يونيو,زراعي,قطعة أرض,100000,1200,1,,,,5000000,30046.04,10,,,
يونيو,زراعي,بيت,,,,719674,476.31,1,580000,482.97,1,,,
يونيو,زراعي,أرض زراعية,10962000,40185.87,2,35334482,181736.8012,10,134970944,245562.06,7,,,
يوليو,,,464706820,958057.9363,595,898184736,2336954.8315,1206,223103226,614484.6501,529,,,
يوليو,سكني,,354776732,596052.4863,488,774364253,783095.7536,1094,193062351,250619.5501,457,,,
يوليو,سكني,قطعة أرض,294258060,523303.8263,392,725940213,754450.5371,1003,167309085,239352.5901,410,,,
يوليو,سكني,عمارة,189000,394.99,1,662500,2833.5125,1,400000,574.16,1,,,
يوليو,سكني,فيلا,,,,5280000,3182.33,8,,,,,,
يوليو,سكني,شقة,31842873,12873.82,66,31991851,11582.564,53,9395815,4767.46,25,,,
يوليو,سكني,بيت,28086799,19094.46,27,10389689,8654.15,28,15957451,5925.34,21,,,
يوليو,سكني,مرفق,,,,100000,2392.66,1,,,,,,
يوليو,سكني,أرض زراعية,400000,40385.39,2,,,,,,,,,
يوليو,تجاري,,93182521,54708.57,80,92068817,154922.34,91,23963375,39499.39,53,,,
يوليو,تجاري,قطعة أرض,93055488,54672.1,79,88645567,139508.35,87,23963375,39499.39,53,,,
يوليو,تجاري,فيلا,,,,500000,400,1,,,,,,
يوليو,تجاري,شقة,,,,650000,234.85,1,,,,,,
يوليو,تجاري,معرض/محل,,,,100000,14692.21,1,,,,,,
يوليو,تجاري,بيت,127033,36.47,1,2173250,86.93,1,,,,,,
يوليو,زراعي,,16747567,307296.88,27,31751666,1398936.7379,21,6077500,324365.71,19,,,
يوليو,زراعي,قطعة أرض,,,,35000,13500,1,3510000,1972.17,10,,,
يوليو,زراعي,أرض زراعية,16747567,307296.88,27,31716666,1385436.7379,20,2567500,322393.54,9,,,
اوغسطس,,,234759931,291436.3458,335,491229262,790898.635,830,366492277,726747.9842,703,,,
اوغسطس,سكني,,191473212,151816.5383,278,409091628,440918.2214,754,314514787,335643.469,597,,,
اوغسطس,سكني,قطعة أرض,152837883,141512.9183,229,368890731,418828.7059,681,269924134,322134.659,549,,,
اوغسطس,سكني,عمارة,3317825,1253.66,3,75000,404.7875,1,1463982,624,1,,,
اوغسطس,سكني,فيلا,500000,301.65,1,3367550,1881.26,4,,,,,,
اوغسطس,سكني,شقة,17619850,6537.38,37,25728713,10052.68,47,31595346,6219.91,30,,,
اوغسطس,سكني,بيت,17197654,2210.93,8,11029634,9750.788,21,11531325,6664.9,17,,,
اوغسطس,تجاري,,41041719,36294.1625,48,80767634,164063.1136,70,43955990,51698.4852,76,,,
اوغسطس,تجاري,قطعة أرض,40201719,35633.3025,46,72717634,53032.2436,67,42967990,48376.2252,74,,,
اوغسطس,تجاري,فيلا,,,,,,,608000,331.81,1,,,
اوغسطس,تجاري,شقة,800000,319,1,1050000,490.77,2,,,,,,
اوغسطس,تجاري,بيت,40000,341.86,1,,,,380000,2990.45,1,,,
اوغسطس,تجاري,أرض زراعية,,,,7000000,110540.1,1,,,,,,
اوغسطس,زراعي,,2245000,103325.645,9,1370000,185917.3,6,8021500,339406.03,30,,,
اوغسطس,زراعي,قطعة أرض,,,,,,,6030000,2597.44,18,,,
اوغسطس,زراعي,أرض زراعية,2245000,103325.645,9,1370000,185917.3,6,1991500,336808.59,12,,,
