السنة,التاريخ,رمز المنطقة الإدارية,المنطقة الإدارية,رمز البند,البند,الرقم القياسي,الأهمية النسبية,نسبة التغير السنوي,نسبة التغير الربعي
2017,2017 / Q3,99,المملكة,012,عمارة سكني,93.393,0.0265,-0.042348984,-0.008987691
2019,2019 / Q1,13,الجوف,023,معرض/ محل تجاري,100,0.07853,0,0
2022,2022 / Q1,2,مكة المكرمة,024,مركز تجاري,105.81,0.07028,0,0
2015,2015 / Q1,3,المدينة المنوره,011,قطعة أرض سكني,103.823,62.15994,0.070969539,0.004217165
2019,2019 / Q2,8,حائل,014,شقة سكني,74.43,2.57881,-0.025402645,0.002829426
2023,2023 / Q1,11,نجران,0,الرقم القياسي العام,83.812,100,-0.012524300,-0.002748593
2023,2023 / Q2,5,المنطقة الشرقية,023,معرض/ محل تجاري,90.6,0.07853,0.050775904,0
2016,2016 / Q4,1,الرياض,012,عمارة سكني,90.893,0.0265,-0.102202687,-0.033289727
2022,2022 / Q2,99,المملكة,015,بيت سكني,92.21,0.20994,-0.008984803,-0.001418655
2015,2015 / Q1,1,الرياض,022,عمارة تجاري,100,0.00298,0,0
2023,2023 / Q1,1,الرياض,014,شقة سكني,80.203,2.57881,0.041137679,0.017262373
2016,2016 / Q1,5,المنطقة الشرقية,014,شقة سكني,101.487,2.57881,-0.030159686,0.002707162
2023,2023 / Q1,1,الرياض,01,سكني,98.136,65.37373,0.051911719,-0.000560133
2024,2024 / Q1,9,الحدود الشمالية,012,عمارة سكني,104.544,0.0265,0,0
2016,2016 / Q1,4,القصيم,015,بيت سكني,86.303,0.20994,-0.122160854,-0.084221138
2018,2018 / Q2,1,الرياض,011,قطعة أرض سكني,89.227,62.15994,-0.019774353,-0.016814871
2019,2019 / Q1,99,المملكة,01,سكني,82.277,65.37373,-0.058938579,-0.004753841
2020,2020 / Q4,4,القصيم,021,قطعة أرض تجاري,77.245,30.86673,-0.057528062,-0.018799619
2018,2018 / Q4,12,الباحة,01,سكني,75.623,65.37373,-0.014722552,-0.001716104
2018,2018 / Q2,12,الباحة,02,تجاري,97.24,31.01851,0.001441813,0
2020,2020 / Q3,4,القصيم,015,بيت سكني,87.105,0.20994,-0.038257701,5.740528129e-05
2020,2020 / Q1,12,الباحة,03,زراعي,107.26,3.60776,0,0
2022,2022 / Q1,7,تبوك,0,الرقم القياسي العام,84.332,100,-0.006280563,-0.000853040
2016,2016 / Q1,4,القصيم,01,سكني,87.51,65.37373,-0.108160166,-0.055854651
2015,2015 / Q1,8,حائل,01,سكني,98.277,65.37373,-0.004215091,-0.051288734
2018,2018 / Q3,2,مكة المكرمة,0,الرقم القياسي العام,82.937,100,-0.013558999,-0.012149076
2016,2016 / Q1,99,المملكة,022,عمارة تجاري,101.81,0.00298,0.0181,0
2017,2017 / Q4,99,المملكة,031,أرض زراعية,93.71,3.60776,-0.006225012,-0.000884927
2019,2019 / Q1,1,الرياض,023,معرض/ محل تجاري,85.747,0.07853,0.007922608,0.002419921
2018,2018 / Q3,3,المدينة المنوره,0,الرقم القياسي العام,93.697,100,-0.009964074,-0.003859239
2022,2022 / Q4,5,المنطقة الشرقية,02,تجاري,81.116,31.01851,-0.005419456,0.000505705
2019,2019 / Q3,9,الحدود الشمالية,012,عمارة سكني,102.32,0.0265,0.013571075,0.013571075
2015,2015 / Q2,8,حائل,021,قطعة أرض تجاري,102.71,30.86673,0.031255962,-0.024874205
2017,2017 / Q3,99,المملكة,021,قطعة أرض تجاري,77.523,30.86673,-0.089004313,-0.010011876
2016,2016 / Q4,2,مكة المكرمة,031,أرض زراعية,95.967,3.60776,-0.018571735,-0.010343405
2017,2017 / Q3,5,المنطقة الشرقية,024,مركز تجاري,102.29,0.07028,0,0
2022,2022 / Q1,9,الحدود الشمالية,021,قطعة أرض تجاري,94.633,30.86673,-0.002834503,0.001047242
2022,2022 / Q2,1,الرياض,011,قطعة أرض سكني,96.382,62.15994,0.044508263,0.026836986
2022,2022 / Q1,13,الجوف,0,الرقم القياسي العام,82.833,100,0.011540152,0.002420341
2016,2016 / Q1,13,الجوف,0,الرقم القياسي العام,91.443,100,-0.048984431,0.031354680
2021,2021 / Q2,13,الجوف,023,معرض/ محل تجاري,100,0.07853,0,0
2018,2018 / Q2,2,مكة المكرمة,015,بيت سكني,98.533,0.20994,-0.002066095,-0.002601478
2024,2024 / Q1,5,المنطقة الشرقية,0,الرقم القياسي العام,82.24,100,0.005059517,0.003514252
2020,2020 / Q3,10,جازان,011,قطعة أرض سكني,98.942,62.15994,0.068061358,-0.025105922
2018,2018 / Q1,8,حائل,01,سكني,85.56,65.37373,0.007299270,0.005559016
2019,2019 / Q2,2,مكة المكرمة,01,سكني,81.84,65.37373,-0.040708919,-0.005553058
2023,2023 / Q4,8,حائل,03,زراعي,96.813,3.60776,-0.000609051,0.000940841
2017,2017 / Q4,11,نجران,01,سكني,85.017,65.37373,-0.040840732,-0.020010835
2021,2021 / Q1,8,حائل,0,الرقم القياسي العام,91.465,100,0.013092166,-0.006560297
2020,2020 / Q4,8,حائل,0,الرقم القياسي العام,92.069,100,0.009528509,0.006064646
2017,2017 / Q4,13,الجوف,03,زراعي,110.46,3.60776,-0.002168022,-0.003545236
2016,2016 / Q2,1,الرياض,01,سكني,100.387,65.37373,-0.019849639,-0.015842671
2021,2021 / Q3,12,الباحة,01,سكني,76.472,65.37373,-0.028396458,-0.025610968
2021,2021 / Q2,12,الباحة,01,سكني,78.482,65.37373,-0.004123999,-0.001869539
2018,2018 / Q2,13,الجوف,011,قطعة أرض سكني,81.64,62.15994,-0.011346985,-0.006413767
2016,2016 / Q1,1,الرياض,023,معرض/ محل تجاري,89.513,0.07853,-0.099829043,0.024563050
2016,2016 / Q4,3,المدينة المنوره,021,قطعة أرض تجاري,99.633,30.86673,-0.027714618,-0.009050854
2019,2019 / Q1,8,حائل,014,شقة سكني,74.22,2.57881,-0.019460188,-0.017994178
2021,2021 / Q1,10,جازان,03,زراعي,83.39,3.60776,0,0
2018,2018 / Q1,6,عسير,0,الرقم القياسي العام,86.583,100,0.003395527,0.001538462
2023,2023 / Q2,8,حائل,02,تجاري,76.197,31.01851,0.001261481,-0.012749252
2023,2023 / Q3,6,عسير,0,الرقم القياسي العام,86.771,100,0.002935839,0.000103732
2022,2022 / Q2,6,عسير,014,شقة سكني,91.568,2.57881,0.005004829,0.006142250
2017,2017 / Q1,10,جازان,031,أرض زراعية,83.39,3.60776,0,0
2015,2015 / Q3,6,عسير,031,أرض زراعية,92.91,3.60776,-0.039123825,3.229035487e-05
2023,2023 / Q1,2,مكة المكرمة,02,تجاري,73.731,31.01851,0.004577969,0.002460911
2023,2023 / Q1,6,عسير,024,مركز تجاري,100,0.07028,0,0
2018,2018 / Q2,99,المملكة,011,قطعة أرض سكني,86.75,62.15994,-0.011700104,-0.008231394
2023,2023 / Q3,99,المملكة,013,فيلا سكني,80.909,0.39854,-0.037839959,-0.002527307
2023,2023 / Q2,6,عسير,021,قطعة أرض تجاري,90.7,30.86673,0.001800369,-0.000143309
2022,2022 / Q4,3,المدينة المنوره,024,مركز تجاري,95.154,0.07028,0,0
2020,2020 / Q1,5,المنطقة الشرقية,012,عمارة سكني,113.97,0.0265,0,0
2020,2020 / Q1,1,الرياض,012,عمارة سكني,82.23,0.0265,-0.030043526,-0.027749861
2016,2016 / Q4,7,تبوك,014,شقة سكني,80.103,2.57881,-0.051361914,0.009960536
2020,2020 / Q4,2,مكة المكرمة,012,عمارة سكني,100,0.0265,0,0
2019,2019 / Q4,99,المملكة,0,الرقم القياسي العام,80.833,100,0.004848153,0.009239259
2016,2016 / Q4,3,المدينة المنوره,03,زراعي,93.403,3.60776,-0.001891430,-0.000363882
2023,2023 / Q1,4,القصيم,01,سكني,81.343,65.37373,-0.021414049,-0.017988000
2017,2017 / Q1,99,المملكة,014,شقة سكني,86.757,2.57881,-0.074562386,-0.034026255
2016,2016 / Q4,7,تبوك,0,الرقم القياسي العام,86.163,100,-0.112179289,-0.009427129
2021,2021 / Q1,8,حائل,02,تجاري,74.359,31.01851,-0.024582530,-0.009563515
2016,2016 / Q4,13,الجوف,031,أرض زراعية,110.7,3.60776,0.064556146,0
2017,2017 / Q2,2,مكة المكرمة,012,عمارة سكني,100,0.0265,0,0
2020,2020 / Q1,3,المدينة المنوره,015,بيت سكني,92.997,0.20994,-0.013430508,-0.003813482
2021,2021 / Q3,1,الرياض,0,الرقم القياسي العام,79.663,100,0.010618324,-0.009967066
2019,2019 / Q3,6,عسير,024,مركز تجاري,100,0.07028,0,0
2016,2016 / Q3,4,القصيم,023,معرض/ محل تجاري,110.647,0.07853,0.047168829,0.184657388
2015,2015 / Q1,6,عسير,02,تجاري,99.38,31.01851,0.002451153,-0.007757820
2015,2015 / Q1,7,تبوك,023,معرض/ محل تجاري,100,0.07853,0,0
2015,2015 / Q1,13,الجوف,0,الرقم القياسي العام,96.153,100,-0.042329412,-0.029835536
2021,2021 / Q2,1,الرياض,02,تجاري,66.61,31.01851,-0.004587773,-0.009546185
2021,2021 / Q3,3,المدينة المنوره,021,قطعة أرض تجاري,96.933,30.86673,0.001198137,-0.000659814
2020,2020 / Q4,6,عسير,011,قطعة أرض سكني,82.204,62.15994,-0.007281993,-0.000474204
