أدوات البناء,المحافظة,المنطقة,نوع المنزل,عدد المنازل
الخرسانة/مسلح,المدينة المنورة (مقر الامارة),المدينة المنورة,دور في منزل شعبي,1140
الطين,المدينة المنورة (مقر الامارة),المدينة المنورة,دور في منزل شعبي,17
البلك/ الطوب,المهد,المدينة المنورة,دور في منزل شعبي,92
الحجارة,المهد,المدينة المنورة,دور في منزل شعبي,2
الخرسانة/مسلح,المهد,المدينة المنورة,دور في منزل شعبي,40
الطين,المهد,المدينة المنورة,دور في منزل شعبي,1
أخرى,بدر,المدينة المنورة,دور في منزل شعبي,1
البلك/ الطوب,بدر,المدينة المنورة,دور في منزل شعبي,150
الحجارة,بدر,المدينة المنورة,دور في منزل شعبي,1
الخرسانة/مسلح,بدر,المدينة المنورة,دور في منزل شعبي,61
الطين,بدر,المدينة المنورة,دور في منزل شعبي,1
البلك/ الطوب,خيبر,المدينة المنورة,دور في منزل شعبي,243
الحجارة,خيبر,المدينة المنورة,دور في منزل شعبي,4
الخرسانة/مسلح,خيبر,المدينة المنورة,دور في منزل شعبي,153
الطين,خيبر,المدينة المنورة,دور في منزل شعبي,4
أخرى,وادي الفرع,المدينة المنورة,دور في منزل شعبي,1
البلك/ الطوب,وادي الفرع,المدينة المنورة,دور في منزل شعبي,73
الخرسانة/مسلح,وادي الفرع,المدينة المنورة,دور في منزل شعبي,18
أخرى,ينبع,المدينة المنورة,دور في منزل شعبي,4
البلك/ الطوب,ينبع,المدينة المنورة,دور في منزل شعبي,544
الحجارة,ينبع,المدينة المنورة,دور في منزل شعبي,15
الخرسانة/مسلح,ينبع,المدينة المنورة,دور في منزل شعبي,318
الطين,ينبع,المدينة المنورة,دور في منزل شعبي,9
أخرى,الاحساء,المنطقة الشرقية,دور في منزل شعبي,195
البلك/ الطوب,الاحساء,المنطقة الشرقية,دور في منزل شعبي,4140
الحجارة,الاحساء,المنطقة الشرقية,دور في منزل شعبي,81
الخرسانة/مسلح,الاحساء,المنطقة الشرقية,دور في منزل شعبي,1471
الطين,الاحساء,المنطقة الشرقية,دور في منزل شعبي,38
أخرى,الجبيل,المنطقة الشرقية,دور في منزل شعبي,55
البلك/ الطوب,الجبيل,المنطقة الشرقية,دور في منزل شعبي,411
الحجارة,الجبيل,المنطقة الشرقية,دور في منزل شعبي,40
الخرسانة/مسلح,الجبيل,المنطقة الشرقية,دور في منزل شعبي,754
الطين,الجبيل,المنطقة الشرقية,دور في منزل شعبي,12
أخرى,الخبر,المنطقة الشرقية,دور في منزل شعبي,48
البلك/ الطوب,الخبر,المنطقة الشرقية,دور في منزل شعبي,394
الحجارة,الخبر,المنطقة الشرقية,دور في منزل شعبي,84
الخرسانة/مسلح,الخبر,المنطقة الشرقية,دور في منزل شعبي,704
الطين,الخبر,المنطقة الشرقية,دور في منزل شعبي,2
أخرى,الخفجي,المنطقة الشرقية,دور في منزل شعبي,3
البلك/ الطوب,الخفجي,المنطقة الشرقية,دور في منزل شعبي,251
الحجارة,الخفجي,المنطقة الشرقية,دور في منزل شعبي,6
الخرسانة/مسلح,الخفجي,المنطقة الشرقية,دور في منزل شعبي,187
الطين,الخفجي,المنطقة الشرقية,دور في منزل شعبي,1
أخرى,الدمام (مقرالامارة),المنطقة الشرقية,دور في منزل شعبي,37
البلك/ الطوب,الدمام (مقرالامارة),المنطقة الشرقية,دور في منزل شعبي,920
الحجارة,الدمام (مقرالامارة),المنطقة الشرقية,دور في منزل شعبي,59
الخرسانة/مسلح,الدمام (مقرالامارة),المنطقة الشرقية,دور في منزل شعبي,1214
الطين,الدمام (مقرالامارة),المنطقة الشرقية,دور في منزل شعبي,38
البلك/ الطوب,العديد,المنطقة الشرقية,دور في منزل شعبي,15
أخرى,القطيف,المنطقة الشرقية,دور في منزل شعبي,63
البلك/ الطوب,القطيف,المنطقة الشرقية,دور في منزل شعبي,1658
الحجارة,القطيف,المنطقة الشرقية,دور في منزل شعبي,248
الخرسانة/مسلح,القطيف,المنطقة الشرقية,دور في منزل شعبي,1247
الطين,القطيف,المنطقة الشرقية,دور في منزل شعبي,66
أخرى,النعيرية,المنطقة الشرقية,دور في منزل شعبي,17
البلك/ الطوب,النعيرية,المنطقة الشرقية,دور في منزل شعبي,133
الحجارة,النعيرية,المنطقة الشرقية,دور في منزل شعبي,1
الخرسانة/مسلح,النعيرية,المنطقة الشرقية,دور في منزل شعبي,292
الطين,النعيرية,المنطقة الشرقية,دور في منزل شعبي,12
أخرى,بقيق,المنطقة الشرقية,دور في منزل شعبي,2
البلك/ الطوب,بقيق,المنطقة الشرقية,دور في منزل شعبي,288
الحجارة,بقيق,المنطقة الشرقية,دور في منزل شعبي,23
الخرسانة/مسلح,بقيق,المنطقة الشرقية,دور في منزل شعبي,278
الطين,بقيق,المنطقة الشرقية,دور في منزل شعبي,2
أخرى,حفر الباطن,المنطقة الشرقية,دور في منزل شعبي,30
البلك/ الطوب,حفر الباطن,المنطقة الشرقية,دور في منزل شعبي,982
الحجارة,حفر الباطن,المنطقة الشرقية,دور في منزل شعبي,20
الخرسانة/مسلح,حفر الباطن,المنطقة الشرقية,دور في منزل شعبي,899
الطين,حفر الباطن,المنطقة الشرقية,دور في منزل شعبي,1
أخرى,رأس تنورة,المنطقة الشرقية,دور في منزل شعبي,9
البلك/ الطوب,رأس تنورة,المنطقة الشرقية,دور في منزل شعبي,136
الحجارة,رأس تنورة,المنطقة الشرقية,دور في منزل شعبي,19
الخرسانة/مسلح,رأس تنورة,المنطقة الشرقية,دور في منزل شعبي,161
الطين,رأس تنورة,المنطقة الشرقية,دور في منزل شعبي,4
البلك/ الطوب,قرية العليا,المنطقة الشرقية,دور في منزل شعبي,50
الخرسانة/مسلح,قرية العليا,المنطقة الشرقية,دور في منزل شعبي,29
أخرى,البدع,تبوك,دور في منزل شعبي,2
البلك/ الطوب,البدع,تبوك,دور في منزل شعبي,23
الحجارة,البدع,تبوك,دور في منزل شعبي,1
الخرسانة/مسلح,البدع,تبوك,دور في منزل شعبي,46
أخرى,الوجة,تبوك,دور في منزل شعبي,1
البلك/ الطوب,الوجة,تبوك,دور في منزل شعبي,138
الحجارة,الوجة,تبوك,دور في منزل شعبي,1
الخرسانة/مسلح,الوجة,تبوك,دور في منزل شعبي,117
الطين,الوجة,تبوك,دور في منزل شعبي,18
أخرى,املج,تبوك,دور في منزل شعبي,1
البلك/ الطوب,املج,تبوك,دور في منزل شعبي,159
الحجارة,املج,تبوك,دور في منزل شعبي,2
الخرسانة/مسلح,املج,تبوك,دور في منزل شعبي,52
الطين,املج,تبوك,دور في منزل شعبي,1
أخرى,تبوك (مقرالامارة),تبوك,دور في منزل شعبي,26
البلك/ الطوب,تبوك (مقرالامارة),تبوك,دور في منزل شعبي,999
الحجارة,تبوك (مقرالامارة),تبوك,دور في منزل شعبي,9
الخرسانة/مسلح,تبوك (مقرالامارة),تبوك,دور في منزل شعبي,1493
الطين,تبوك (مقرالامارة),تبوك,دور في منزل شعبي,3
أخرى,تيماء,تبوك,دور في منزل شعبي,2
البلك/ الطوب,تيماء,تبوك,دور في منزل شعبي,140
الحجارة,تيماء,تبوك,دور في منزل شعبي,2
الخرسانة/مسلح,تيماء,تبوك,دور في منزل شعبي,469
البلك/ الطوب,حقل,تبوك,دور في منزل شعبي,26
الحجارة,حقل,تبوك,دور في منزل شعبي,1
الخرسانة/مسلح,حقل,تبوك,دور في منزل شعبي,61
أخرى,ضباء,تبوك,دور في منزل شعبي,3
البلك/ الطوب,ضباء,تبوك,دور في منزل شعبي,94
الحجارة,ضباء,تبوك,دور في منزل شعبي,2
الخرسانة/مسلح,ضباء,تبوك,دور في منزل شعبي,77
الطين,ضباء,تبوك,دور في منزل شعبي,1
أخرى,ابو عريش,جازان,دور في منزل شعبي,5
البلك/ الطوب,ابو عريش,جازان,دور في منزل شعبي,481
الحجارة,ابو عريش,جازان,دور في منزل شعبي,15
الخرسانة/مسلح,ابو عريش,جازان,دور في منزل شعبي,372
أخرى,احد المسارحة,جازان,دور في منزل شعبي,3
البلك/ الطوب,احد المسارحة,جازان,دور في منزل شعبي,366
الحجارة,احد المسارحة,جازان,دور في منزل شعبي,4
الخرسانة/مسلح,احد المسارحة,جازان,دور في منزل شعبي,226
الطين,احد المسارحة,جازان,دور في منزل شعبي,1
أخرى,الحرث,جازان,دور في منزل شعبي,1
البلك/ الطوب,الحرث,جازان,دور في منزل شعبي,51
الخرسانة/مسلح,الحرث,جازان,دور في منزل شعبي,18
البلك/ الطوب,الدائر,جازان,دور في منزل شعبي,225
الحجارة,الدائر,جازان,دور في منزل شعبي,7
الخرسانة/مسلح,الدائر,جازان,دور في منزل شعبي,198
أخرى,الدرب,جازان,دور في منزل شعبي,1
البلك/ الطوب,الدرب,جازان,دور في منزل شعبي,248
الحجارة,الدرب,جازان,دور في منزل شعبي,1
الخرسانة/مسلح,الدرب,جازان,دور في منزل شعبي,176
البلك/ الطوب,الريث,جازان,دور في منزل شعبي,38
الخرسانة/مسلح,الريث,جازان,دور في منزل شعبي,18
أخرى,الطوال,جازان,دور في منزل شعبي,1
البلك/ الطوب,الطوال,جازان,دور في منزل شعبي,90
الحجارة,الطوال,جازان,دور في منزل شعبي,1
الخرسانة/مسلح,الطوال,جازان,دور في منزل شعبي,59
أخرى,العارضة,جازان,دور في منزل شعبي,5
البلك/ الطوب,العارضة,جازان,دور في منزل شعبي,347
الحجارة,العارضة,جازان,دور في منزل شعبي,9
الخرسانة/مسلح,العارضة,جازان,دور في منزل شعبي,163
الطين,العارضة,جازان,دور في منزل شعبي,1
البلك/ الطوب,العيدابي,جازان,دور في منزل شعبي,134
الحجارة,العيدابي,جازان,دور في منزل شعبي,2
الخرسانة/مسلح,العيدابي,جازان,دور في منزل شعبي,81
أخرى,بيش,جازان,دور في منزل شعبي,17
البلك/ الطوب,بيش,جازان,دور في منزل شعبي,274
الحجارة,بيش,جازان,دور في منزل شعبي,8
الخرسانة/مسلح,بيش,جازان,دور في منزل شعبي,254
أخرى,جازان (مقر الامارة),جازان,دور في منزل شعبي,15
البلك/ الطوب,جازان (مقر الامارة),جازان,دور في منزل شعبي,389
الحجارة,جازان (مقر الامارة),جازان,دور في منزل شعبي,12
الخرسانة/مسلح,جازان (مقر الامارة),جازان,دور في منزل شعبي,226
أخرى,صامطة,جازان,دور في منزل شعبي,6
البلك/ الطوب,صامطة,جازان,دور في منزل شعبي,417
الخرسانة/مسلح,صامطة,جازان,دور في منزل شعبي,219
أخرى,صبياء,جازان,دور في منزل شعبي,7
البلك/ الطوب,صبياء,جازان,دور في منزل شعبي,622
الحجارة,صبياء,جازان,دور في منزل شعبي,9
الخرسانة/مسلح,صبياء,جازان,دور في منزل شعبي,423
أخرى,ضمد,جازان,دور في منزل شعبي,1
البلك/ الطوب,ضمد,جازان,دور في منزل شعبي,239
الحجارة,ضمد,جازان,دور في منزل شعبي,2
الخرسانة/مسلح,ضمد,جازان,دور في منزل شعبي,142
أخرى,فرسان,جازان,دور في منزل شعبي,1
البلك/ الطوب,فرسان,جازان,دور في منزل شعبي,80
الحجارة,فرسان,جازان,دور في منزل شعبي,3
الخرسانة/مسلح,فرسان,جازان,دور في منزل شعبي,6
أخرى,فيفا,جازان,دور في منزل شعبي,4
البلك/ الطوب,فيفا,جازان,دور في منزل شعبي,95
الحجارة,فيفا,جازان,دور في منزل شعبي,7
الخرسانة/مسلح,فيفا,جازان,دور في منزل شعبي,60
أخرى,هروب,جازان,دور في منزل شعبي,2
البلك/ الطوب,هروب,جازان,دور في منزل شعبي,56
الخرسانة/مسلح,هروب,جازان,دور في منزل شعبي,44
أخرى,الحائط,حائل,دور في منزل شعبي,3
البلك/ الطوب,الحائط,حائل,دور في منزل شعبي,143
الحجارة,الحائط,حائل,دور في منزل شعبي,2
الخرسانة/مسلح,الحائط,حائل,دور في منزل شعبي,22
البلك/ الطوب,السليمي,حائل,دور في منزل شعبي,49
الحجارة,السليمي,حائل,دور في منزل شعبي,1
الخرسانة/مسلح,السليمي,حائل,دور في منزل شعبي,8
أخرى,الشملي,حائل,دور في منزل شعبي,1
البلك/ الطوب,الشملي,حائل,دور في منزل شعبي,56
الحجارة,الشملي,حائل,دور في منزل شعبي,1
الخرسانة/مسلح,الشملي,حائل,دور في منزل شعبي,10
أخرى,الشنان,حائل,دور في منزل شعبي,1
البلك/ الطوب,الشنان,حائل,دور في منزل شعبي,138
الحجارة,الشنان,حائل,دور في منزل شعبي,3
الخرسانة/مسلح,الشنان,حائل,دور في منزل شعبي,20
الطين,الشنان,حائل,دور في منزل شعبي,2
أخرى,الغزالة,حائل,دور في منزل شعبي,3
البلك/ الطوب,الغزالة,حائل,دور في منزل شعبي,69
الخرسانة/مسلح,الغزالة,حائل,دور في منزل شعبي,16
أخرى,بقعاء,حائل,دور في منزل شعبي,3
البلك/ الطوب,بقعاء,حائل,دور في منزل شعبي,174
الحجارة,بقعاء,حائل,دور في منزل شعبي,2
الخرسانة/مسلح,بقعاء,حائل,دور في منزل شعبي,30
أخرى,حائل(مقر الامارة),حائل,دور في منزل شعبي,18
البلك/ الطوب,حائل(مقر الامارة),حائل,دور في منزل شعبي,1055
الحجارة,حائل(مقر الامارة),حائل,دور في منزل شعبي,18
الخرسانة/مسلح,حائل(مقر الامارة),حائل,دور في منزل شعبي,377
الطين,حائل(مقر الامارة),حائل,دور في منزل شعبي,1
أخرى,سميراء,حائل,دور في منزل شعبي,2
البلك/ الطوب,سميراء,حائل,دور في منزل شعبي,71
الخرسانة/مسلح,سميراء,حائل,دور في منزل شعبي,17
الطين,سميراء,حائل,دور في منزل شعبي,1
البلك/ الطوب,موقق,حائل,دور في منزل شعبي,62
الحجارة,موقق,حائل,دور في منزل شعبي,1
الخرسانة/مسلح,موقق,حائل,دور في منزل شعبي,14
أخرى,ابها (مقر الإمارة),عسير,دور في منزل شعبي,13
البلك/ الطوب,ابها (مقر الإمارة),عسير,دور في منزل شعبي,564
الحجارة,ابها (مقر الإمارة),عسير,دور في منزل شعبي,17
الخرسانة/مسلح,ابها (مقر الإمارة),عسير,دور في منزل شعبي,692
الطين,ابها (مقر الإمارة),عسير,دور في منزل شعبي,30
أخرى,احد رفيدة,عسير,دور في منزل شعبي,1
البلك/ الطوب,احد رفيدة,عسير,دور في منزل شعبي,179
الحجارة,احد رفيدة,عسير,دور في منزل شعبي,4
الخرسانة/مسلح,احد رفيدة,عسير,دور في منزل شعبي,199
الطين,احد رفيدة,عسير,دور في منزل شعبي,3
البلك/ الطوب,الا مواة,عسير,دور في منزل شعبي,19
الحجارة,الا مواة,عسير,دور في منزل شعبي,3
الخرسانة/مسلح,الا مواة,عسير,دور في منزل شعبي,6
الطين,الا مواة,عسير,دور في منزل شعبي,1
البلك/ الطوب,البرك,عسير,دور في منزل شعبي,60
الخرسانة/مسلح,البرك,عسير,دور في منزل شعبي,23
البلك/ الطوب,الحرجة,عسير,دور في منزل شعبي,34
الخرسانة/مسلح,الحرجة,عسير,دور في منزل شعبي,24
الطين,الحرجة,عسير,دور في منزل شعبي,6
البلك/ الطوب,المجاردة,عسير,دور في منزل شعبي,126
الحجارة,المجاردة,عسير,دور في منزل شعبي,2
الخرسانة/مسلح,المجاردة,عسير,دور في منزل شعبي,117
أخرى,النماص,عسير,دور في منزل شعبي,3
البلك/ الطوب,النماص,عسير,دور في منزل شعبي,94
الحجارة,النماص,عسير,دور في منزل شعبي,10
الخرسانة/مسلح,النماص,عسير,دور في منزل شعبي,75
أخرى,بارق,عسير,دور في منزل شعبي,2
البلك/ الطوب,بارق,عسير,دور في منزل شعبي,114
الحجارة,بارق,عسير,دور في منزل شعبي,3
الخرسانة/مسلح,بارق,عسير,دور في منزل شعبي,86
أخرى,بالقرن,عسير,دور في منزل شعبي,2
البلك/ الطوب,بالقرن,عسير,دور في منزل شعبي,104
الحجارة,بالقرن,عسير,دور في منزل شعبي,5
الخرسانة/مسلح,بالقرن,عسير,دور في منزل شعبي,104
الطين,بالقرن,عسير,دور في منزل شعبي,1
أخرى,بيشة,عسير,دور في منزل شعبي,4
البلك/ الطوب,بيشة,عسير,دور في منزل شعبي,453
الحجارة,بيشة,عسير,دور في منزل شعبي,3
الخرسانة/مسلح,بيشة,عسير,دور في منزل شعبي,268
الطين,بيشة,عسير,دور في منزل شعبي,2
البلك/ الطوب,تثليث,عسير,دور في منزل شعبي,51
الحجارة,تثليث,عسير,دور في منزل شعبي,2
الخرسانة/مسلح,تثليث,عسير,دور في منزل شعبي,199
البلك/ الطوب,تنومة,عسير,دور في منزل شعبي,49
الخرسانة/مسلح,تنومة,عسير,دور في منزل شعبي,31
الطين,تنومة,عسير,دور في منزل شعبي,4
أخرى,خميس  مشيط,عسير,دور في منزل شعبي,17
البلك/ الطوب,خميس  مشيط,عسير,دور في منزل شعبي,1266
الحجارة,خميس  مشيط,عسير,دور في منزل شعبي,20
الخرسانة/مسلح,خميس  مشيط,عسير,دور في منزل شعبي,1479
الطين,خميس  مشيط,عسير,دور في منزل شعبي,7
أخرى,رجال المع,عسير,دور في منزل شعبي,4
البلك/ الطوب,رجال المع,عسير,دور في منزل شعبي,169
الحجارة,رجال المع,عسير,دور في منزل شعبي,6
الخرسانة/مسلح,رجال المع,عسير,دور في منزل شعبي,137
أخرى,سراة عبيدة,عسير,دور في منزل شعبي,2
البلك/ الطوب,سراة عبيدة,عسير,دور في منزل شعبي,96
الحجارة,سراة عبيدة,عسير,دور في منزل شعبي,11
الخرسانة/مسلح,سراة عبيدة,عسير,دور في منزل شعبي,96
أخرى,طريب,عسير,دور في منزل شعبي,1
البلك/ الطوب,طريب,عسير,دور في منزل شعبي,48
الخرسانة/مسلح,طريب,عسير,دور في منزل شعبي,21
الطين,طريب,عسير,دور في منزل شعبي,1
أخرى,ظهران الجنوب,عسير,دور في منزل شعبي,4
البلك/ الطوب,ظهران الجنوب,عسير,دور في منزل شعبي,70
الحجارة,ظهران الجنوب,عسير,دور في منزل شعبي,1
الخرسانة/مسلح,ظهران الجنوب,عسير,دور في منزل شعبي,66
الطين,ظهران الجنوب,عسير,دور في منزل شعبي,2
أخرى,محايل,عسير,دور في منزل شعبي,10
البلك/ الطوب,محايل,عسير,دور في منزل شعبي,843
الحجارة,محايل,عسير,دور في منزل شعبي,13
الخرسانة/مسلح,محايل,عسير,دور في منزل شعبي,426
أخرى,أضم,مكة المكرمة,دور في منزل شعبي,1
البلك/ الطوب,أضم,مكة المكرمة,دور في منزل شعبي,87
الحجارة,أضم,مكة المكرمة,دور في منزل شعبي,1
الخرسانة/مسلح,أضم,مكة المكرمة,دور في منزل شعبي,34
أخرى,الجموم,مكة المكرمة,دور في منزل شعبي,8
البلك/ الطوب,الجموم,مكة المكرمة,دور في منزل شعبي,275
الحجارة,الجموم,مكة المكرمة,دور في منزل شعبي,3
الخرسانة/مسلح,الجموم,مكة المكرمة,دور في منزل شعبي,69
الطين,الجموم,مكة المكرمة,دور في منزل شعبي,1
أخرى,الخرمة,مكة المكرمة,دور في منزل شعبي,3
البلك/ الطوب,الخرمة,مكة المكرمة,دور في منزل شعبي,44
الحجارة,الخرمة,مكة المكرمة,دور في منزل شعبي,1
الخرسانة/مسلح,الخرمة,مكة المكرمة,دور في منزل شعبي,27
أخرى,الطائف,مكة المكرمة,دور في منزل شعبي,16
البلك/ الطوب,الطائف,مكة المكرمة,دور في منزل شعبي,1300
الحجارة,الطائف,مكة المكرمة,دور في منزل شعبي,40
الخرسانة/مسلح,الطائف,مكة المكرمة,دور في منزل شعبي,815
الطين,الطائف,مكة المكرمة,دور في منزل شعبي,7
أخرى,العرضيات,مكة المكرمة,دور في منزل شعبي,2
البلك/ الطوب,العرضيات,مكة المكرمة,دور في منزل شعبي,211
الحجارة,العرضيات,مكة المكرمة,دور في منزل شعبي,3
الخرسانة/مسلح,العرضيات,مكة المكرمة,دور في منزل شعبي,79
أخرى,القنفذة,مكة المكرمة,دور في منزل شعبي,12
البلك/ الطوب,القنفذة,مكة المكرمة,دور في منزل شعبي,904
الحجارة,القنفذة,مكة المكرمة,دور في منزل شعبي,12
الخرسانة/مسلح,القنفذة,مكة المكرمة,دور في منزل شعبي,221
الطين,القنفذة,مكة المكرمة,دور في منزل شعبي,1
البلك/ الطوب,الكامل,مكة المكرمة,دور في منزل شعبي,55
الخرسانة/مسلح,الكامل,مكة المكرمة,دور في منزل شعبي,9
أخرى,الليث,مكة المكرمة,دور في منزل شعبي,4
البلك/ الطوب,الليث,مكة المكرمة,دور في منزل شعبي,221
الحجارة,الليث,مكة المكرمة,دور في منزل شعبي,1
الخرسانة/مسلح,الليث,مكة المكرمة,دور في منزل شعبي,61
أخرى,الموية,مكة المكرمة,دور في منزل شعبي,1
البلك/ الطوب,الموية,مكة المكرمة,دور في منزل شعبي,35
الخرسانة/مسلح,الموية,مكة المكرمة,دور في منزل شعبي,26
أخرى,بحرة,مكة المكرمة,دور في منزل شعبي,24
البلك/ الطوب,بحرة,مكة المكرمة,دور في منزل شعبي,368
الحجارة,بحرة,مكة المكرمة,دور في منزل شعبي,50
الخرسانة/مسلح,بحرة,مكة المكرمة,دور في منزل شعبي,250
أخرى,تربة,مكة المكرمة,دور في منزل شعبي,2
البلك/ الطوب,تربة,مكة المكرمة,دور في منزل شعبي,333
الحجارة,تربة,مكة المكرمة,دور في منزل شعبي,2
الخرسانة/مسلح,تربة,مكة المكرمة,دور في منزل شعبي,59
الطين,تربة,مكة المكرمة,دور في منزل شعبي,1
أخرى,جدة,مكة المكرمة,دور في منزل شعبي,46
البلك/ الطوب,جدة,مكة المكرمة,دور في منزل شعبي,7551
الحجارة,جدة,مكة المكرمة,دور في منزل شعبي,107
الخرسانة/مسلح,جدة,مكة المكرمة,دور في منزل شعبي,1696
الطين,جدة,مكة المكرمة,دور في منزل شعبي,36
البلك/ الطوب,خليص,مكة المكرمة,دور في منزل شعبي,203
الحجارة,خليص,مكة المكرمة,دور في منزل شعبي,2
الخرسانة/مسلح,خليص,مكة المكرمة,دور في منزل شعبي,33
الطين,خليص,مكة المكرمة,دور في منزل شعبي,1
أخرى,رابغ,مكة المكرمة,دور في منزل شعبي,1
البلك/ الطوب,رابغ,مكة المكرمة,دور في منزل شعبي,198
الحجارة,رابغ,مكة المكرمة,دور في منزل شعبي,3
الخرسانة/مسلح,رابغ,مكة المكرمة,دور في منزل شعبي,40
الطين,رابغ,مكة المكرمة,دور في منزل شعبي,1
البلك/ الطوب,رنية,مكة المكرمة,دور في منزل شعبي,93
الحجارة,رنية,مكة المكرمة,دور في منزل شعبي,3
الخرسانة/مسلح,رنية,مكة المكرمة,دور في منزل شعبي,32
أخرى,مكة المكرمة (مقر الإمارة),مكة المكرمة,دور في منزل شعبي,107
البلك/ الطوب,مكة المكرمة (مقر الإمارة),مكة المكرمة,دور في منزل شعبي,4770
الحجارة,مكة المكرمة (مقر الإمارة),مكة المكرمة,دور في منزل شعبي,141
الخرسانة/مسلح,مكة المكرمة (مقر الإمارة),مكة المكرمة,دور في منزل شعبي,5801
الطين,مكة المكرمة (مقر الإمارة),مكة المكرمة,دور في منزل شعبي,47
البلك/ الطوب,ميسان,مكة المكرمة,دور في منزل شعبي,97
الحجارة,ميسان,مكة المكرمة,دور في منزل شعبي,1
الخرسانة/مسلح,ميسان,مكة المكرمة,دور في منزل شعبي,56
الطين,ميسان,مكة المكرمة,دور في منزل شعبي,1
أخرى,بدر الجنوب,نجران,دور في منزل شعبي,1
البلك/ الطوب,بدر الجنوب,نجران,دور في منزل شعبي,20
الخرسانة/مسلح,بدر الجنوب,نجران,دور في منزل شعبي,5
الطين,بدر الجنوب,نجران,دور في منزل شعبي,3
أخرى,ثار,نجران,دور في منزل شعبي,2
البلك/ الطوب,ثار,نجران,دور في منزل شعبي,33
الحجارة,ثار,نجران,دور في منزل شعبي,1
الخرسانة/مسلح,ثار,نجران,دور في منزل شعبي,14
أخرى,حبونا,نجران,دور في منزل شعبي,2
البلك/ الطوب,حبونا,نجران,دور في منزل شعبي,119
الخرسانة/مسلح,حبونا,نجران,دور في منزل شعبي,28
أخرى,خباش,نجران,دور في منزل شعبي,4
البلك/ الطوب,خباش,نجران,دور في منزل شعبي,40
الخرسانة/مسلح,خباش,نجران,دور في منزل شعبي,4
أخرى,شرورة,نجران,دور في منزل شعبي,5
البلك/ الطوب,شرورة,نجران,دور في منزل شعبي,200
الخرسانة/مسلح,شرورة,نجران,دور في منزل شعبي,89
أخرى,نجران (مقر الامارة),نجران,دور في منزل شعبي,31
البلك/ الطوب,نجران (مقر الامارة),نجران,دور في منزل شعبي,959
الحجارة,نجران (مقر الامارة),نجران,دور في منزل شعبي,14
الخرسانة/مسلح,نجران (مقر الامارة),نجران,دور في منزل شعبي,425
الطين,نجران (مقر الامارة),نجران,دور في منزل شعبي,26
أخرى,يدمة,نجران,دور في منزل شعبي,1
البلك/ الطوب,يدمة,نجران,دور في منزل شعبي,56
الخرسانة/مسلح,يدمة,نجران,دور في منزل شعبي,16
أخرى,الباحة (مقرالامارة),الباحة,شقة في عمارة,24
البلك/ الطوب,الباحة (مقرالامارة),الباحة,شقة في عمارة,8
الخرسانة/مسلح,الباحة (مقرالامارة),الباحة,شقة في عمارة,13305
البلك/ الطوب,الحجرة,الباحة,شقة في عمارة,1
الخرسانة/مسلح,الحجرة,الباحة,شقة في عمارة,583
أخرى,العقيق,الباحة,شقة في عمارة,9
البلك/ الطوب,العقيق,الباحة,شقة في عمارة,7
الخرسانة/مسلح,العقيق,الباحة,شقة في عمارة,2454
الخرسانة/مسلح,القرى,الباحة,شقة في عمارة,1114
أخرى,المخواة,الباحة,شقة في عمارة,8
البلك/ الطوب,المخواة,الباحة,شقة في عمارة,3
الخرسانة/مسلح,المخواة,الباحة,شقة في عمارة,5663
أخرى,المندق,الباحة,شقة في عمارة,3
البلك/ الطوب,المندق,الباحة,شقة في عمارة,1
الخرسانة/مسلح,المندق,الباحة,شقة في عمارة,1884
أخرى,بلجرشي,الباحة,شقة في عمارة,8
البلك/ الطوب,بلجرشي,الباحة,شقة في عمارة,5
الخرسانة/مسلح,بلجرشي,الباحة,شقة في عمارة,5701
أخرى,بني حسن,الباحة,شقة في عمارة,6
البلك/ الطوب,بني حسن,الباحة,شقة في عمارة,1
الخرسانة/مسلح,بني حسن,الباحة,شقة في عمارة,1324
الخرسانة/مسلح,فرعة غامد الزناد,الباحة,شقة في عمارة,597
أخرى,قلوة,الباحة,شقة في عمارة,7
البلك/ الطوب,قلوة,الباحة,شقة في عمارة,3
الخرسانة/مسلح,قلوة,الباحة,شقة في عمارة,2411
أخرى,القريات,الجوف,شقة في عمارة,33
البلك/ الطوب,القريات,الجوف,شقة في عمارة,7
الخرسانة/مسلح,القريات,الجوف,شقة في عمارة,12217
أخرى,دومة الجندل,الجوف,شقة في عمارة,12
البلك/ الطوب,دومة الجندل,الجوف,شقة في عمارة,4
الخرسانة/مسلح,دومة الجندل,الجوف,شقة في عمارة,4353
أخرى,سكاكا (مقر الامارة),الجوف,شقة في عمارة,50
البلك/ الطوب,سكاكا (مقر الامارة),الجوف,شقة في عمارة,39
الخرسانة/مسلح,سكاكا (مقر الامارة),الجوف,شقة في عمارة,25222
أخرى,طبرجل,الجوف,شقة في عمارة,35
البلك/ الطوب,طبرجل,الجوف,شقة في عمارة,5
الخرسانة/مسلح,طبرجل,الجوف,شقة في عمارة,6888
الخرسانة/مسلح,العويقيلة,الحدود الشمالية,شقة في عمارة,446
أخرى,رفحاء,الحدود الشمالية,شقة في عمارة,7
الخرسانة/مسلح,رفحاء,الحدود الشمالية,شقة في عمارة,3359
أخرى,طريف,الحدود الشمالية,شقة في عمارة,7
البلك/ الطوب,طريف,الحدود الشمالية,شقة في عمارة,1
الخرسانة/مسلح,طريف,الحدود الشمالية,شقة في عمارة,3497
