شبكة الكهرباء,السنة,المنطقة الإدارية,نوع المسكن,المساكن المتصلة بالكهرباء
طاقة شمسية,2021,عسير,دور في منزل شعبي,0.00
شبكة خاصة,2021,القصيم,دور في فيلا,2.55
مولد خاص,2021,حائل,منزل شعبي,0.01
شبكة خاصة,2021,المدينة المنورة,منزل شعبي,0.00
مولد خاص,2017,جازان,شقة,0.32
شبكة عامة,2019,المنطقة الشرقية,منزل شعبي,100.00
شبكة عامة,2021,تبوك,منزل شعبي,100.00
طاقة شمسية,2017,الحدود الشمالية,دور في فيلا,0.00
شبكة عامة,2021,الجوف,فيلا,99.99
طاقة شمسية,2021,المنطقة الشرقية,منزل شعبي,0.00
طاقة شمسية,2019,الرياض,فيلا,0.00
شبكة عامة,2019,جازان,شقة,99.94
شبكة خاصة,2021,عسير,منزل شعبي,0.00
طاقة شمسية,2019,تبوك,فيلا,0.00
شبكة خاصة,2017,نجران,منزل شعبي,0.00
طاقة شمسية,2017,عسير,دور في منزل شعبي,0.00
شبكة خاصة,2021,المنطقة الشرقية,منزل شعبي,0.00
مولد خاص,2017,مكة المكرمة,أخرى,0.20
مولد خاص,2019,الباحة,شقة,0.06
شبكة عامة,2022,عسير,شقة,Infinity
مولد خاص,2019,الجوف,دور في فيلا,0.00
شبكة عامة,2019,القصيم,فيلا,100.00
طاقة شمسية,2019,مكة المكرمة,شقة,0.00
طاقة شمسية,2019,تبوك,دور في فيلا,0.00
مولد خاص,2021,المنطقة الشرقية,فيلا,0.00
طاقة شمسية,2022,حائل,دور في منزل شعبي,0.00
شبكة عامة,2022,حائل,شقة,100.00
شبكة عامة,2019,مكة المكرمة,منزل شعبي,94.15
شبكة خاصة,2019,مكة المكرمة,دور في فيلا,0.00
مولد خاص,2019,المنطقة الشرقية,دور في منزل شعبي,0.00
شبكة عامة,2019,الباحة,دور في منزل شعبي,99.83
شبكة عامة,2019,المنطقة الشرقية,دور في فيلا,100.00
شبكة عامة,2019,الجوف,فيلا,100.00
مولد خاص,2017,تبوك,أخرى,0.00
مولد خاص,2019,المنطقة الشرقية,أخرى,0.00
طاقة شمسية,2021,تبوك,دور في منزل شعبي,0.00
طاقة شمسية,2021,جازان,دور في منزل شعبي,0.00
شبكة خاصة,2019,الرياض,فيلا,0.00
طاقة شمسية,2019,عسير,دور في فيلا,0.00
طاقة شمسية,2019,عسير,شقة,0.00
شبكة عامة,2019,عسير,شقة,99.90
شبكة خاصة,2022,مكة المكرمة,دور في منزل شعبي,1.18
شبكة عامة,2019,جازان,دور في منزل شعبي,99.62
طاقة شمسية,2019,نجران,أخرى,0.00
شبكة عامة,2022,الرياض,شقة,94.79
شبكة خاصة,2019,المنطقة الشرقية,منزل شعبي,0.00
شبكة خاصة,2018,الباحة,شقة,0.04
شبكة خاصة,2017,الرياض,فيلا,0.00
طاقة شمسية,2017,الرياض,فيلا,0.00
مولد خاص,2021,عسير,منزل شعبي,0.00
مولد خاص,2021,الحدود الشمالية,دور في منزل شعبي,0.00
مولد خاص,2022,المنطقة الشرقية,دور في فيلا,0.00
شبكة خاصة,2021,مكة المكرمة,أخرى,0.00
طاقة شمسية,2022,المنطقة الشرقية,دور في منزل شعبي,0.00
طاقة شمسية,2018,مكة المكرمة,أخرى,0.00
مولد خاص,2019,الحدود الشمالية,فيلا,0.00
مولد خاص,2022,جازان,فيلا,0.00
مولد خاص,2019,تبوك,دور في منزل شعبي,0.00
مولد خاص,2022,عسير,منزل شعبي,0.00
طاقة شمسية,2019,المنطقة الشرقية,دور في منزل شعبي,0.00
مولد خاص,2022,مكة المكرمة,فيلا,0.00
شبكة عامة,2017,مكة المكرمة,منزل شعبي,99.07
شبكة خاصة,2017,المدينة المنورة,دور في منزل شعبي,0.00
شبكة خاصة,2022,جازان,دور في فيلا,0.00
شبكة خاصة,2019,حائل,منزل شعبي,0.00
طاقة شمسية,2022,المنطقة الشرقية,فيلا,0.00
شبكة خاصة,2022,الرياض,شقة,0.00
شبكة عامة,2017,جازان,فيلا,100.00
شبكة عامة,2022,المدينة المنورة,منزل شعبي,99.31
مولد خاص,2022,الباحة,فيلا,0.00
مولد خاص,2022,عسير,شقة,0.00
طاقة شمسية,2022,الرياض,منزل شعبي,0.00
طاقة شمسية,2017,المنطقة الشرقية,دور في منزل شعبي,0.00
شبكة عامة,2017,المدينة المنورة,منزل شعبي,100.00
شبكة خاصة,2019,المدينة المنورة,فيلا,0.00
شبكة عامة,2022,حائل,*إسم_غير_معرف*,Infinity
شبكة خاصة,2022,المنطقة الشرقية,فيلا,17.78
شبكة خاصة,2022,عسير,أخرى,0.00
شبكة عامة,2022,الجوف,منزل شعبي,100.00
شبكة عامة,2022,الباحة,شقة,100.00
شبكة عامة,2017,الرياض,أخرى,99.48
مولد خاص,2022,حائل,شقة,0.00
شبكة خاصة,2022,الباحة,فيلا,0.00
شبكة خاصة,2021,مكة المكرمة,دور في فيلا,0.00
شبكة عامة,2022,عسير,شقة,98.72
شبكة عامة,2017,المدينة المنورة,دور في فيلا,100.00
طاقة شمسية,2022,المنطقة الشرقية,دور في منزل شعبي,0.00
مولد خاص,2017,المدينة المنورة,دور في فيلا,0.00
شبكة عامة,2017,الحدود الشمالية,منزل شعبي,100.00
شبكة عامة,2022,الرياض,شقة,100.00
طاقة شمسية,2022,الحدود الشمالية,منزل شعبي,0.00
شبكة عامة,2017,مكة المكرمة,دور في منزل شعبي,100.00
مولد خاص,2022,عسير,أخرى,0.00
شبكة خاصة,2022,تبوك,دور في منزل شعبي,0.00
طاقة شمسية,2022,المدينة المنورة,دور في فيلا,0.00
مولد خاص,2022,حائل,فيلا,0.00
شبكة عامة,2017,حائل,منزل شعبي,99.45
طاقة شمسية,2017,المدينة المنورة,دور في منزل شعبي,0.00
مولد خاص,2022,عسير,منزل شعبي,0.00
شبكة عامة,2022,القصيم,فيلا,100.00
شبكة خاصة,2022,الرياض,شقة,0.00
طاقة شمسية,2017,الجوف,أخرى,0.00
طاقة شمسية,2022,عسير,منزل شعبي,0.00
طاقة شمسية,2022,جازان,منزل شعبي,0.00
طاقة شمسية,2022,عسير,دور في منزل شعبي,0.00
طاقة شمسية,2022,الجوف,دور في فيلا,0.00
طاقة شمسية,2022,القصيم,فيلا,0.13
شبكة خاصة,2022,تبوك,شقة,0.00
مولد خاص,2022,عسير,شقة,Infinity
مولد خاص,2019,الباحة,شقة,0.00
طاقة شمسية,2021,الرياض,منزل شعبي,0.00
طاقة شمسية,2022,القصيم,دور في فيلا,0.00
شبكة عامة,2018,تبوك,منزل شعبي,100.00
شبكة عامة,2017,جازان,أخرى,100.00
شبكة عامة,2022,تبوك,*إسم_غير_معرف*,Infinity
شبكة عامة,2021,عسير,فيلا,100.00
شبكة عامة,2017,الحدود الشمالية,أخرى,100.00
شبكة عامة,2018,الباحة,أخرى,100.00
شبكة عامة,2022,جازان,شقة,100.00
مولد خاص,2022,تبوك,*إسم_غير_معرف*,Infinity
شبكة عامة,2021,الباحة,منزل شعبي,100.00
طاقة شمسية,2022,الباحة,فيلا,0.00
مولد خاص,2022,نجران,دور في منزل شعبي,0.00
طاقة شمسية,2021,القصيم,شقة,0.00
شبكة عامة,2017,نجران,أخرى,100.00
طاقة شمسية,2022,المدينة المنورة,دور في منزل شعبي,0.00
شبكة عامة,2022,تبوك,شقة,99.39
مولد خاص,2022,الجوف,دور في منزل شعبي,0.00
مولد خاص,2022,الحدود الشمالية,منزل شعبي,0.00
مولد خاص,2017,الحدود الشمالية,أخرى,0.00
شبكة عامة,2017,الجوف,شقة,76.72
مولد خاص,2022,الرياض,شقة,0.00
شبكة عامة,2017,مكة المكرمة,دور في منزل شعبي,100.00
طاقة شمسية,2017,حائل,دور في منزل شعبي,0.00
مولد خاص,2017,حائل,أخرى,0.00
شبكة عامة,2022,مكة المكرمة,دور في منزل شعبي,100.00
طاقة شمسية,2022,المدينة المنورة,شقة,0.09
مولد خاص,2022,المنطقة الشرقية,شقة,0.00
طاقة شمسية,2018,الرياض,دور في فيلا,0.00
مولد خاص,2022,القصيم,شقة,1.01
طاقة شمسية,2022,عسير,أخرى,0.00
مولد خاص,2022,الرياض,دور في فيلا,16.13
مولد خاص,2022,المنطقة الشرقية,منزل شعبي,0.00
شبكة عامة,2017,تبوك,أخرى,99.22
شبكة عامة,2022,الحدود الشمالية,منزل شعبي,100.00
شبكة خاصة,2021,المدينة المنورة,شقة,0.57
مولد خاص,2022,جازان,شقة,0.00
طاقة شمسية,2022,المدينة المنورة,دور في فيلا,0.00
شبكة خاصة,2022,الجوف,منزل شعبي,0.00
طاقة شمسية,2022,عسير,دور في فيلا,0.00
مولد خاص,2017,عسير,فيلا,0.00
طاقة شمسية,2017,نجران,أخرى,0.00
طاقة شمسية,2022,الحدود الشمالية,شقة,0.06
مولد خاص,2022,جازان,دور في منزل شعبي,0.00
طاقة شمسية,2019,المنطقة الشرقية,فيلا,0.00
طاقة شمسية,2022,القصيم,دور في منزل شعبي,0.00
شبكة خاصة,2022,الباحة,أخرى,0.00
مولد خاص,2019,المدينة المنورة,أخرى,0.00
شبكة خاصة,2019,المنطقة الشرقية,فيلا,0.00
شبكة عامة,2018,المنطقة الشرقية,منزل شعبي,99.35
شبكة خاصة,2022,عسير,أخرى,0.00
طاقة شمسية,2018,نجران,منزل شعبي,0.00
مولد خاص,2022,المدينة المنورة,فيلا,0.00
طاقة شمسية,2022,تبوك,منزل شعبي,13.33
شبكة خاصة,2022,المدينة المنورة,فيلا,0.00
طاقة شمسية,2021,القصيم,منزل شعبي,0.00
مولد خاص,2022,الجوف,دور في فيلا,0.00
شبكة عامة,2018,المدينة المنورة,منزل شعبي,99.96
شبكة خاصة,2019,الحدود الشمالية,فيلا,0.00
طاقة شمسية,2018,عسير,دور في فيلا,0.00
طاقة شمسية,2018,عسير,دور في منزل شعبي,0.00
شبكة عامة,2018,المدينة المنورة,فيلا,92.51
مولد خاص,2022,المنطقة الشرقية,أخرى,Infinity
مولد خاص,2022,الجوف,أخرى,0.00
شبكة خاصة,2017,حائل,دور في فيلا,0.00
شبكة عامة,2018,الحدود الشمالية,فيلا,100.00
طاقة شمسية,2018,جازان,دور في منزل شعبي,0.00
شبكة عامة,2018,القصيم,منزل شعبي,100.00
شبكة عامة,2022,الحدود الشمالية,منزل شعبي,98.77
طاقة شمسية,2022,نجران,*إسم_غير_معرف*,Infinity
طاقة شمسية,2017,المدينة المنورة,دور في فيلا,0.00
مولد خاص,2018,الباحة,منزل شعبي,0.00
شبكة عامة,2022,حائل,شقة,96.87
طاقة شمسية,2018,جازان,فيلا,0.00
شبكة خاصة,2022,الرياض,أخرى,0.00
شبكة خاصة,2017,عسير,فيلا,0.00
طاقة شمسية,2018,حائل,دور في فيلا,0.00
شبكة خاصة,2018,الحدود الشمالية,شقة,0.00
مولد خاص,2021,مكة المكرمة,أخرى,0.00
شبكة خاصة,2018,نجران,أخرى,0.00
مولد خاص,2021,جازان,دور في منزل شعبي,0.00
شبكة عامة,2018,نجران,دور في فيلا,99.64
شبكة خاصة,2018,نجران,فيلا,0.00
طاقة شمسية,2022,جازان,شقة,0.00
طاقة شمسية,2022,عسير,فيلا,0.00
طاقة شمسية,2018,عسير,فيلا,0.00
شبكة خاصة,2018,الباحة,منزل شعبي,0.00
شبكة عامة,2019,تبوك,شقة,99.99
مولد خاص,2017,عسير,منزل شعبي,0.00
مولد خاص,2022,الباحة,منزل شعبي,0.00
شبكة خاصة,2022,حائل,دور في منزل شعبي,0.00
طاقة شمسية,2022,الجوف,فيلا,0.00
طاقة شمسية,2019,الرياض,أخرى,0.00
مولد خاص,2021,تبوك,أخرى,0.00
مولد خاص,2021,الجوف,أخرى,0.00
طاقة شمسية,2019,مكة المكرمة,دور في منزل شعبي,0.00
مولد خاص,2021,الرياض,دور في منزل شعبي,0.00
شبكة خاصة,2019,الحدود الشمالية,فيلا,0.00
طاقة شمسية,2022,مكة المكرمة,أخرى,0.00
شبكة خاصة,2021,جازان,دور في فيلا,0.00
مولد خاص,2021,حائل,أخرى,0.00
مولد خاص,2018,الحدود الشمالية,منزل شعبي,0.00
مولد خاص,2018,المدينة المنورة,دور في فيلا,0.00
مولد خاص,2022,المدينة المنورة,دور في منزل شعبي,0.00
شبكة عامة,2018,الرياض,دور في منزل شعبي,99.81
شبكة خاصة,2022,الباحة,دور في فيلا,Infinity
شبكة خاصة,2021,حائل,منزل شعبي,0.00
مولد خاص,2022,المدينة المنورة,أخرى,0.00
طاقة شمسية,2022,تبوك,دور في فيلا,0.00
مولد خاص,2021,المدينة المنورة,فيلا,0.00
طاقة شمسية,2018,تبوك,دور في فيلا,0.00
مولد خاص,2019,تبوك,دور في منزل شعبي,0.00
طاقة شمسية,2019,الجوف,منزل شعبي,0.00
شبكة عامة,2018,القصيم,دور في فيلا,100.00
مولد خاص,2021,نجران,منزل شعبي,0.00
شبكة عامة,2021,الرياض,دور في فيلا,79.42
شبكة خاصة,2021,المدينة المنورة,فيلا,1.27
شبكة خاصة,2021,الرياض,دور في منزل شعبي,0.00
طاقة شمسية,2018,جازان,شقة,0.00
شبكة خاصة,2022,القصيم,دور في منزل شعبي,0.00
مولد خاص,2018,الحدود الشمالية,فيلا,0.06
شبكة عامة,2019,المنطقة الشرقية,دور في فيلا,100.00
مولد خاص,2018,مكة المكرمة,أخرى,1.74
مولد خاص,2021,الحدود الشمالية,فيلا,0.00
شبكة خاصة,2018,تبوك,شقة,0.00
مولد خاص,2019,تبوك,فيلا,0.00
طاقة شمسية,2018,القصيم,دور في فيلا,0.00
مولد خاص,2021,القصيم,شقة,0.00
شبكة عامة,2022,نجران,دور في منزل شعبي,100.00
شبكة عامة,2022,الباحة,منزل شعبي,100.00
شبكة خاصة,2018,تبوك,دور في منزل شعبي,0.00
شبكة خاصة,2019,جازان,دور في منزل شعبي,0.00
شبكة عامة,2019,القصيم,شقة,100.00
طاقة شمسية,2022,مكة المكرمة,دور في فيلا,0.00
شبكة عامة,2022,تبوك,دور في فيلا,100.00
شبكة عامة,2019,الحدود الشمالية,دور في فيلا,100.00
شبكة خاصة,2021,الجوف,أخرى,0.00
مولد خاص,2017,الجوف,دور في فيلا,0.00
شبكة خاصة,2022,نجران,أخرى,0.00
طاقة شمسية,2022,المنطقة الشرقية,فيلا,Infinity
مولد خاص,2019,نجران,فيلا,0.00
شبكة عامة,2022,الجوف,أخرى,100.00
شبكة عامة,2022,الجوف,أخرى,100.00
مولد خاص,2021,حائل,فيلا,0.00
طاقة شمسية,2018,تبوك,فيلا,0.00
طاقة شمسية,2019,تبوك,دور في فيلا,0.00
شبكة عامة,2018,نجران,أخرى,100.00
طاقة شمسية,2018,الرياض,أخرى,0.00
طاقة شمسية,2021,الرياض,دور في منزل شعبي,0.00
شبكة خاصة,2019,الباحة,دور في فيلا,0.00
شبكة عامة,2019,المدينة المنورة,دور في منزل شعبي,100.00
شبكة خاصة,2021,الجوف,منزل شعبي,0.00
شبكة عامة,2019,القصيم,دور في فيلا,100.00
طاقة شمسية,2018,الحدود الشمالية,دور في منزل شعبي,0.00
شبكة عامة,2019,الحدود الشمالية,فيلا,100.00
شبكة خاصة,2018,الحدود الشمالية,منزل شعبي,0.45
مولد خاص,2018,عسير,أخرى,0.00
شبكة عامة,2022,نجران,دور في منزل شعبي,100.00
طاقة شمسية,2019,الحدود الشمالية,أخرى,0.00
شبكة عامة,2022,الجوف,شقة,100.00
طاقة شمسية,2021,الباحة,فيلا,0.00
شبكة خاصة,2021,تبوك,منزل شعبي,0.00
مولد خاص,2021,القصيم,فيلا,0.00
طاقة شمسية,2021,حائل,دور في فيلا,0.00
طاقة شمسية,2021,المنطقة الشرقية,دور في فيلا,0.00
شبكة عامة,2019,القصيم,دور في منزل شعبي,100.00
شبكة عامة,2019,تبوك,دور في منزل شعبي,100.00
مولد خاص,2022,الحدود الشمالية,شقة,0.00
مولد خاص,2018,المدينة المنورة,فيلا,0.00
طاقة شمسية,2021,نجران,دور في منزل شعبي,0.00
طاقة شمسية,2018,نجران,أخرى,0.00
مولد خاص,2019,مكة المكرمة,أخرى,1.24
مولد خاص,2021,القصيم,أخرى,0.00
مولد خاص,2021,الجوف,فيلا,0.00
طاقة شمسية,2019,تبوك,دور في فيلا,0.00
طاقة شمسية,2021,الحدود الشمالية,دور في منزل شعبي,0.00
شبكة خاصة,2021,الباحة,أخرى,0.00
طاقة شمسية,2021,المدينة المنورة,منزل شعبي,0.00
طاقة شمسية,2019,تبوك,فيلا,0.00
طاقة شمسية,2018,القصيم,فيلا,0.00
شبكة عامة,2021,نجران,أخرى,100.00
شبكة خاصة,2021,جازان,أخرى,0.00
طاقة شمسية,2021,القصيم,دور في فيلا,0.00
طاقة شمسية,2021,نجران,دور في منزل شعبي,0.00
شبكة عامة,2021,الحدود الشمالية,فيلا,95.45
طاقة شمسية,2019,القصيم,دور في منزل شعبي,0.00
مولد خاص,2021,الرياض,دور في منزل شعبي,0.00
طاقة شمسية,2021,القصيم,منزل شعبي,0.00
شبكة خاصة,2018,القصيم,منزل شعبي,0.00
طاقة شمسية,2021,الباحة,فيلا,0.00
طاقة شمسية,2017,الحدود الشمالية,أخرى,0.00
مولد خاص,2021,الرياض,منزل شعبي,0.00
شبكة عامة,2019,حائل,دور في منزل شعبي,100.00
شبكة عامة,2022,المدينة المنورة,*إسم_غير_معرف*,Infinity
طاقة شمسية,2019,نجران,دور في منزل شعبي,0.00
طاقة شمسية,2019,المدينة المنورة,دور في منزل شعبي,0.00
مولد خاص,2019,الرياض,أخرى,0.00
شبكة عامة,2019,المدينة المنورة,دور في فيلا,100.00
شبكة خاصة,2022,مكة المكرمة,*إسم_غير_معرف*,Infinity
طاقة شمسية,2021,الرياض,دور في منزل شعبي,0.00
مولد خاص,2021,القصيم,أخرى,0.00
مولد خاص,2018,حائل,دور في منزل شعبي,0.00
طاقة شمسية,2021,جازان,أخرى,0.00
طاقة شمسية,2022,تبوك,دور في فيلا,0.00
مولد خاص,2018,الرياض,أخرى,0.00
طاقة شمسية,2021,الحدود الشمالية,فيلا,0.00
مولد خاص,2021,المدينة المنورة,أخرى,0.00
مولد خاص,2018,حائل,أخرى,0.00
طاقة شمسية,2022,القصيم,فيلا,Infinity
طاقة شمسية,2021,المدينة المنورة,أخرى,0.00
طاقة شمسية,2018,الباحة,دور في منزل شعبي,0.00
شبكة خاصة,2019,مكة المكرمة,أخرى,0.00
شبكة عامة,2018,الباحة,منزل شعبي,100.00
طاقة شمسية,2022,المدينة المنورة,فيلا,Infinity
مولد خاص,2022,مكة المكرمة,شقة,Infinity
شبكة عامة,2021,مكة المكرمة,أخرى,100.00
شبكة عامة,2018,تبوك,منزل شعبي,100.00
شبكة خاصة,2022,الرياض,دور في منزل شعبي,0.00
مولد خاص,2022,المدينة المنورة,أخرى,Infinity
شبكة عامة,2022,الجوف,فيلا,Infinity
طاقة شمسية,2018,القصيم,دور في منزل شعبي,0.00
طاقة شمسية,2021,عسير,دور في منزل شعبي,0.00
طاقة شمسية,2021,المنطقة الشرقية,دور في منزل شعبي,0.00
مولد خاص,2022,حائل,شقة,Infinity
طاقة شمسية,2021,عسير,فيلا,0.00
شبكة خاصة,2022,حائل,شقة,Infinity
طاقة شمسية,2021,الحدود الشمالية,منزل شعبي,0.00
شبكة عامة,2022,الحدود الشمالية,أخرى,0.00
مولد خاص,2021,عسير,دور في فيلا,0.00
مولد خاص,2022,المدينة المنورة,شقة,Infinity
شبكة عامة,2018,جازان,فيلا,100.00
شبكة خاصة,2022,القصيم,أخرى,Infinity
مولد خاص,2022,نجران,أخرى,0.00
شبكة عامة,2018,حائل,دور في فيلا,100.00
مولد خاص,2022,جازان,أخرى,0.00
شبكة عامة,2018,الباحة,فيلا,99.96
شبكة عامة,2017,الحدود الشمالية,منزل شعبي,100.00
مولد خاص,2018,الرياض,شقة,0.00
طاقة شمسية,2017,الحدود الشمالية,دور في منزل شعبي,0.00
شبكة خاصة,2022,المدينة المنورة,شقة,12.48
شبكة عامة,2018,جازان,منزل شعبي,99.37
مولد خاص,2017,جازان,شقة,0.34
مولد خاص,2018,المدينة المنورة,أخرى,0.00
طاقة شمسية,2017,الرياض,أخرى,0.00
شبكة خاصة,2019,الرياض,دور في منزل شعبي,0.00
مولد خاص,2019,المنطقة الشرقية,فيلا,0.00
شبكة عامة,2022,عسير,دور في منزل شعبي,100.00
شبكة خاصة,2022,تبوك,فيلا,0.00
شبكة عامة,2022,تبوك,دور في منزل شعبي,95.65
مولد خاص,2017,عسير,شقة,0.00
مولد خاص,2018,الرياض,فيلا,0.00
شبكة خاصة,2019,الباحة,شقة,0.00
شبكة عامة,2017,المنطقة الشرقية,شقة,99.68
شبكة خاصة,2018,الباحة,أخرى,6.67
شبكة خاصة,2017,مكة المكرمة,منزل شعبي,0.16
طاقة شمسية,2022,الرياض,منزل شعبي,0.00
شبكة خاصة,2021,مكة المكرمة,منزل شعبي,0.00
شبكة عامة,2022,الباحة,دور في منزل شعبي,100.00
مولد خاص,2018,عسير,دور في فيلا,0.00
طاقة شمسية,2022,المنطقة الشرقية,دور في فيلا,0.00
طاقة شمسية,2017,الباحة,دور في فيلا,0.00
شبكة خاصة,2022,مكة المكرمة,شقة,0.50
مولد خاص,2021,مكة المكرمة,شقة,0.01
شبكة عامة,2021,جازان,دور في فيلا,97.57
طاقة شمسية,2022,جازان,دور في منزل شعبي,0.00
شبكة عامة,2022,جازان,منزل شعبي,100.00
شبكة خاصة,2022,حائل,فيلا,0.00
شبكة عامة,2018,القصيم,منزل شعبي,99.93
طاقة شمسية,2017,القصيم,فيلا,0.00
شبكة خاصة,2017,المنطقة الشرقية,أخرى,0.00
طاقة شمسية,2022,المنطقة الشرقية,منزل شعبي,0.00
طاقة شمسية,2017,حائل,فيلا,0.00
شبكة خاصة,2021,المدينة المنورة,منزل شعبي,6.44
مولد خاص,2022,عسير,شقة,0.00
شبكة عامة,2018,الجوف,فيلا,100.00
شبكة خاصة,2017,تبوك,دور في منزل شعبي,0.00
شبكة خاصة,2022,القصيم,فيلا,0.00
شبكة خاصة,2017,الباحة,أخرى,0.00
شبكة خاصة,2022,الرياض,شقة,0.29
شبكة خاصة,2022,المنطقة الشرقية,شقة,1.65
مولد خاص,2018,جازان,منزل شعبي,0.07
شبكة عامة,2018,جازان,دور في منزل شعبي,98.93
مولد خاص,2022,نجران,دور في منزل شعبي,0.00
شبكة عامة,2017,القصيم,شقة,100.00
شبكة خاصة,2022,الباحة,شقة,0.00
مولد خاص,2017,القصيم,فيلا,0.00
مولد خاص,2017,الرياض,فيلا,0.01
شبكة خاصة,2022,تبوك,شقة,10.73
مولد خاص,2021,الرياض,فيلا,0.00
شبكة عامة,2021,تبوك,شقة,99.92
شبكة عامة,2017,نجران,شقة,99.85
شبكة خاصة,2022,القصيم,شقة,0.00
طاقة شمسية,2018,عسير,دور في فيلا,0.00
طاقة شمسية,2017,جازان,دور في منزل شعبي,0.00
شبكة خاصة,2018,الباحة,شقة,0.00
مولد خاص,2021,تبوك,فيلا,0.00
مولد خاص,2022,الرياض,*إسم_غير_معرف*,Infinity
شبكة خاصة,2019,القصيم,شقة,0.00
مولد خاص,2018,عسير,شقة,0.00
مولد خاص,2017,المنطقة الشرقية,فيلا,0.18
شبكة خاصة,2018,المنطقة الشرقية,دور في منزل شعبي,0.00
شبكة عامة,2022,تبوك,شقة,100.00
طاقة شمسية,2018,عسير,دور في منزل شعبي,0.00
مولد خاص,2019,تبوك,دور في منزل شعبي,0.00
مولد خاص,2022,المنطقة الشرقية,*إسم_غير_معرف*,Infinity
شبكة عامة,2021,عسير,دور في منزل شعبي,99.99
مولد خاص,2018,الباحة,أخرى,0.00
شبكة خاصة,2021,الباحة,شقة,0.00
طاقة شمسية,2022,الرياض,أخرى,26.92
شبكة عامة,2018,عسير,فيلا,99.89
طاقة شمسية,2017,نجران,شقة,0.00
شبكة عامة,2017,المنطقة الشرقية,منزل شعبي,98.99
شبكة خاصة,2019,الحدود الشمالية,شقة,0.03
مولد خاص,2019,المنطقة الشرقية,أخرى,0.00
طاقة شمسية,2022,الباحة,*إسم_غير_معرف*,Infinity
شبكة خاصة,2017,الجوف,دور في فيلا,0.00
طاقة شمسية,2018,الحدود الشمالية,دور في منزل شعبي,0.00
مولد خاص,2017,القصيم,دور في فيلا,0.00
مولد خاص,2022,تبوك,دور في فيلا,0.00
شبكة خاصة,2017,الحدود الشمالية,دور في فيلا,0.00
شبكة خاصة,2017,حائل,منزل شعبي,0.00
شبكة خاصة,2018,حائل,شقة,0.00
شبكة عامة,2021,حائل,فيلا,100.00
مولد خاص,2022,الرياض,أخرى,3.85
شبكة عامة,2018,جازان,شقة,100.00
مولد خاص,2021,عسير,منزل شعبي,0.00
طاقة شمسية,2018,المنطقة الشرقية,منزل شعبي,0.00
طاقة شمسية,2018,الباحة,شقة,0.00
شبكة عامة,2022,المدينة المنورة,فيلا,97.48
شبكة خاصة,2018,الرياض,شقة,0.06
مولد خاص,2019,مكة المكرمة,شقة,0.15
مولد خاص,2018,الرياض,شقة,0.00
طاقة شمسية,2022,الرياض,منزل شعبي,0.00
شبكة عامة,2021,الرياض,أخرى,100.00
شبكة خاصة,2021,الرياض,أخرى,0.00
مولد خاص,2018,القصيم,أخرى,0.00
مولد خاص,2018,المدينة المنورة,دور في منزل شعبي,0.00
طاقة شمسية,2017,القصيم,منزل شعبي,0.00
مولد خاص,2019,عسير,منزل شعبي,0.00
مولد خاص,2022,عسير,شقة,0.00
شبكة خاصة,2022,المنطقة الشرقية,دور في فيلا,22.56
مولد خاص,2019,تبوك,شقة,0.01
مولد خاص,2021,عسير,شقة,0.00
شبكة عامة,2017,الرياض,فيلا,97.38
مولد خاص,2022,حائل,شقة,3.13
شبكة عامة,2018,الحدود الشمالية,دور في منزل شعبي,100.00
شبكة عامة,2022,الجوف,شقة,100.00
شبكة خاصة,2018,المنطقة الشرقية,منزل شعبي,0.00
شبكة خاصة,2018,حائل,دور في منزل شعبي,0.00
شبكة خاصة,2022,جازان,دور في منزل شعبي,0.00
شبكة خاصة,2021,المنطقة الشرقية,دور في فيلا,0.00
مولد خاص,2022,المدينة المنورة,دور في منزل شعبي,0.00
مولد خاص,2022,الباحة,دور في منزل شعبي,0.00
شبكة عامة,2018,عسير,منزل شعبي,99.88
مولد خاص,2019,مكة المكرمة,منزل شعبي,0.00
مولد خاص,2019,عسير,فيلا,0.00
شبكة خاصة,2019,الرياض,دور في منزل شعبي,0.00
مولد خاص,2022,القصيم,منزل شعبي,0.00
مولد خاص,2019,المنطقة الشرقية,دور في فيلا,0.00
مولد خاص,2019,الرياض,شقة,0.00
شبكة عامة,2021,نجران,فيلا,100.00
مولد خاص,2019,الجوف,فيلا,0.00
شبكة عامة,2022,نجران,منزل شعبي,99.41
طاقة شمسية,2017,تبوك,أخرى,0.00
مولد خاص,2022,المنطقة الشرقية,فيلا,0.00
شبكة خاصة,2022,تبوك,دور في منزل شعبي,0.00
شبكة خاصة,2017,الباحة,دور في منزل شعبي,0.00
شبكة خاصة,2019,المنطقة الشرقية,شقة,0.00
مولد خاص,2019,نجران,دور في منزل شعبي,0.00
شبكة خاصة,2017,الباحة,دور في فيلا,0.00
طاقة شمسية,2017,مكة المكرمة,أخرى,0.00
شبكة خاصة,2019,الرياض,منزل شعبي,8.12
شبكة خاصة,2017,الرياض,أخرى,0.00
طاقة شمسية,2017,مكة المكرمة,فيلا,0.00
شبكة خاصة,2017,تبوك,منزل شعبي,0.00
شبكة عامة,2021,الرياض,فيلا,99.83
شبكة خاصة,2017,القصيم,دور في فيلا,0.00
شبكة خاصة,2017,المنطقة الشرقية,أخرى,0.00
مولد خاص,2019,جازان,شقة,0.06
شبكة خاصة,2019,نجران,أخرى,0.00
طاقة شمسية,2017,القصيم,شقة,0.00
