شبكة الكهرباء,السنة,المنطقة الإدارية,نوع المسكن,المساكن المتصلة بالكهرباء
شبكة خاصة,2021,الرياض,دور في فيلا,20.58
طاقة شمسية,2019,الباحة,دور في منزل شعبي,0.00
شبكة خاصة,2019,تبوك,منزل شعبي,0.22
مولد خاص,2017,حائل,دور في منزل شعبي,0.00
شبكة عامة,2022,نجران,شقة,100.00
طاقة شمسية,2019,الباحة,منزل شعبي,0.00
مولد خاص,2021,عسير,دور في منزل شعبي,0.00
شبكة عامة,2019,تبوك,دور في فيلا,100.00
شبكة عامة,2019,عسير,فيلا,100.00
شبكة خاصة,2019,نجران,فيلا,0.00
شبكة عامة,2021,حائل,دور في منزل شعبي,100.00
طاقة شمسية,2019,نجران,شقة,0.00
شبكة خاصة,2018,المدينة المنورة,منزل شعبي,0.00
طاقة شمسية,2019,الحدود الشمالية,فيلا,0.00
مولد خاص,2019,نجران,دور في فيلا,0.00
شبكة عامة,2019,الباحة,دور في منزل شعبي,100.00
طاقة شمسية,2019,مكة المكرمة,دور في فيلا,0.00
طاقة شمسية,2019,المدينة المنورة,شقة,0.00
شبكة عامة,2022,عسير,*إسم_غير_معرف*,Infinity
طاقة شمسية,2022,حائل,فيلا,0.00
طاقة شمسية,2019,عسير,أخرى,0.00
شبكة عامة,2021,مكة المكرمة,دور في فيلا,100.00
طاقة شمسية,2019,المنطقة الشرقية,شقة,0.00
شبكة عامة,2022,الباحة,شقة,100.00
شبكة عامة,2017,القصيم,منزل شعبي,100.00
شبكة خاصة,2019,المدينة المنورة,دور في منزل شعبي,0.00
مولد خاص,2017,مكة المكرمة,دور في منزل شعبي,0.00
طاقة شمسية,2018,المدينة المنورة,منزل شعبي,0.00
شبكة خاصة,2019,المدينة المنورة,أخرى,0.00
طاقة شمسية,2017,الجوف,فيلا,0.00
شبكة عامة,2019,القصيم,منزل شعبي,100.00
مولد خاص,2019,الرياض,أخرى,1.99
شبكة عامة,2022,مكة المكرمة,دور في منزل شعبي,97.64
شبكة خاصة,2022,المدينة المنورة,منزل شعبي,0.66
شبكة خاصة,2021,الباحة,منزل شعبي,0.00
مولد خاص,2022,نجران,فيلا,0.00
شبكة عامة,2019,الباحة,منزل شعبي,100.00
طاقة شمسية,2019,القصيم,شقة,0.00
شبكة خاصة,2017,الحدود الشمالية,دور في منزل شعبي,0.00
شبكة خاصة,2022,جازان,منزل شعبي,0.00
مولد خاص,2022,جازان,فيلا,0.00
مولد خاص,2022,جازان,منزل شعبي,0.00
شبكة عامة,2022,الرياض,منزل شعبي,88.37
مولد خاص,2017,حائل,دور في منزل شعبي,0.00
طاقة شمسية,2017,الحدود الشمالية,منزل شعبي,0.00
مولد خاص,2022,القصيم,شقة,0.00
مولد خاص,2019,حائل,دور في فيلا,0.00
شبكة خاصة,2022,الجوف,أخرى,0.00
مولد خاص,2022,تبوك,دور في منزل شعبي,0.00
شبكة عامة,2017,مكة المكرمة,فيلا,100.00
طاقة شمسية,2022,الباحة,منزل شعبي,0.00
طاقة شمسية,2022,عسير,فيلا,0.00
شبكة عامة,2017,الباحة,فيلا,100.00
طاقة شمسية,2022,جازان,فيلا,0.00
شبكة خاصة,2022,عسير,منزل شعبي,1.83
طاقة شمسية,2022,مكة المكرمة,دور في منزل شعبي,0.00
مولد خاص,2017,حائل,شقة,0.00
مولد خاص,2022,جازان,فيلا,0.00
طاقة شمسية,2022,الباحة,دور في فيلا,0.11
طاقة شمسية,2022,المدينة المنورة,أخرى,0.00
طاقة شمسية,2022,عسير,دور في فيلا,0.00
شبكة عامة,2022,نجران,منزل شعبي,100.00
طاقة شمسية,2017,الحدود الشمالية,أخرى,0.00
شبكة عامة,2022,عسير,أخرى,0.00
مولد خاص,2021,تبوك,دور في منزل شعبي,0.00
شبكة عامة,2022,نجران,فيلا,98.95
شبكة خاصة,2019,المدينة المنورة,فيلا,0.00
مولد خاص,2017,نجران,أخرى,0.00
شبكة عامة,2017,الباحة,دور في فيلا,99.96
شبكة خاصة,2017,الحدود الشمالية,منزل شعبي,0.00
شبكة عامة,2022,الرياض,فيلا,100.00
شبكة عامة,2019,حائل,دور في فيلا,100.00
شبكة خاصة,2022,تبوك,منزل شعبي,0.00
شبكة عامة,2017,الجوف,منزل شعبي,100.00
شبكة عامة,2022,نجران,شقة,100.00
شبكة خاصة,2019,الرياض,منزل شعبي,0.00
مولد خاص,2017,مكة المكرمة,أخرى,0.00
طاقة شمسية,2022,نجران,فيلا,0.00
طاقة شمسية,2021,الباحة,شقة,0.00
شبكة عامة,2018,المدينة المنورة,دور في منزل شعبي,100.00
شبكة خاصة,2019,نجران,منزل شعبي,0.00
مولد خاص,2021,الجوف,شقة,0.00
شبكة عامة,2017,الحدود الشمالية,دور في منزل شعبي,100.00
طاقة شمسية,2022,جازان,أخرى,0.00
شبكة خاصة,2021,حائل,دور في منزل شعبي,0.00
مولد خاص,2022,المدينة المنورة,منزل شعبي,0.28
شبكة خاصة,2021,الجوف,شقة,0.00
مولد خاص,2021,تبوك,دور في منزل شعبي,0.00
شبكة خاصة,2022,مكة المكرمة,منزل شعبي,0.00
شبكة عامة,2017,المدينة المنورة,دور في منزل شعبي,100.00
شبكة عامة,2018,تبوك,دور في فيلا,100.00
شبكة خاصة,2022,الجوف,أخرى,0.00
مولد خاص,2018,جازان,دور في منزل شعبي,1.83
شبكة خاصة,2017,الجوف,دور في منزل شعبي,0.00
شبكة عامة,2022,المنطقة الشرقية,منزل شعبي,95.24
