id,field_id,value,count,percentage
384,108,"نجران",7,0.46
385,109,"الرياض",416,27.1
386,109,"جده",161,10.49
387,109,"مكة المكرمة",143,9.32
388,109,"الدمام",134,8.73
389,109,"المدينة المنورة",131,8.53
390,109,"الاحساء",97,6.32
391,109,"الطائف",96,6.25
392,109,"ابها",83,5.41
393,109,"بريده",75,4.89
394,109,"جيزان",47,3.06
395,109,"حفر الباطن",45,2.93
396,109,"حائل",43,2.8
397,109,"عرعر",18,1.17
398,109,"الباحه",16,1.04
399,109,"سكاكا",13,0.85
400,109,"تبوك",10,0.65
401,109,"نجران",7,0.46
402,110,"مزاد",1535,100.0
403,113,"مكة المكرمه",446,29.09
404,113,"الرياض",270,17.61
405,113,"الشرقية",251,16.37
406,113,"المدينة المنوره",127,8.28
407,113,"حائل",123,8.02
408,113,"القصيم",97,6.33
409,113,"عسير",77,5.02
410,113,"الباحة",59,3.85
411,113,"جازان",33,2.15
412,113,"الجوف",28,1.83
413,113,"تبوك",14,0.91
414,113,"نجران",5,0.33
415,113,"الحدود الشمالية",3,0.2
416,114,"الرياض",270,17.61
417,114,"جده",224,14.61
418,114,"مكة المكرمة",183,11.94
419,114,"الدمام",145,9.46
420,114,"المدينة المنورة",127,8.28
421,114,"حائل",123,8.02
422,114,"بريده",97,6.33
423,114,"ابها",77,5.02
424,114,"الباحه",59,3.85
425,114,"حفر الباطن",55,3.59
426,114,"الاحساء",51,3.33
427,114,"الطائف",39,2.54
428,114,"جيزان",33,2.15
429,114,"سكاكا",28,1.83
430,114,"تبوك",14,0.91
431,114,"نجران",5,0.33
432,114,"عرعر",3,0.2
433,115,"مزاد",1533,100.0
434,118,"منطقة الشرقية",338,27.82
435,118,"منطقة الرياض",270,22.22
436,118,"منطقة مكة المكرمه",200,16.46
437,118,"منطقة حائل",139,11.44
438,118,"منطقة القصيم",71,5.84
439,118,"منطقة المدينة المنوره",59,4.86
440,118,"منطقة الجوف",52,4.28
441,118,"منطقة عسير",35,2.88
442,118,"منطقة الحدود الشمالية",18,1.48
443,118,"منطقة تبوك",14,1.15
444,118,"منطقة جازان",8,0.66
445,118,"منطقة نجران",6,0.49
446,118,"منطقة الباحة",5,0.41
447,119,"الرياض",270,22.22
448,119,"الاحساء",238,19.59
449,119,"حائل",139,11.44
450,119,"جده",112,9.22
451,119,"الدمام",82,6.75
452,119,"بريده",71,5.84
453,119,"مكة المكرمة",66,5.43
454,119,"المدينة المنورة",59,4.86
455,119,"سكاكا",52,4.28
456,119,"ابها",35,2.88
457,119,"الطائف",22,1.81
458,119,"حفر الباطن",18,1.48
459,119,"عرعر",18,1.48
460,119,"تبوك",14,1.15
461,119,"جيزان",8,0.66
462,119,"نجران",6,0.49
463,119,"الباحه",5,0.41
464,120,"قسمة تركة",670,55.14
465,120,"مزاد",421,34.65
466,120,"احكام و قرارات",57,4.69
467,120,"عقود",40,3.29
468,120,"أوراق تجارية",24,1.98
469,120,"أوراق تجارية إلكترونية",3,0.25
470,124,"الرياض",306,27.47
471,124,"مكة المكرمه",269,24.15
472,124,"الشرقية",143,12.84
473,124,"المدينة المنوره",91,8.17
474,124,"القصيم",83,7.45
475,124,"حائل",56,5.03
476,124,"عسير",48,4.31
477,124,"تبوك",41,3.68
478,124,"الجوف",37,3.32
479,124,"جازان",17,1.53
480,124,"الحدود الشمالية",15,1.35
481,124,"الباحة",7,0.63
482,124,"نجران",1,0.09
483,125,"الرياض",306,27.47
484,125,"جده",152,13.64
485,125,"المدينة المنورة",91,8.17
486,125,"بريده",83,7.45
487,125,"مكة المكرمة",78,7.0
488,125,"الدمام",70,6.28
489,125,"الاحساء",59,5.3
490,125,"حائل",56,5.03
491,125,"ابها",48,4.31
492,125,"تبوك",41,3.68
493,125,"الطائف",39,3.5
494,125,"سكاكا",37,3.32
495,125,"جيزان",17,1.53
496,125,"عرعر",15,1.35
497,125,"حفر الباطن",14,1.26
498,125,"الباحه",7,0.63
499,125,"نجران",1,0.09
500,126,"قسمة تركة",698,62.66
501,126,"مزاد",253,22.71
502,126,"احكام و قرارات",69,6.19
503,126,"أوراق تجارية",49,4.4
504,126,"عقود",33,2.96
505,126,"عام",5,0.45
506,126,"أوراق تجارية إلكترونية",3,0.27
507,126,"اخلاء",2,0.18
508,126,"محاضر",1,0.09
509,126,"صداق",1,0.09
510,129,"الرياض",486,35.92
511,129,"مكة المكرمه",334,24.69
512,129,"الشرقية",164,12.12
513,129,"القصيم",92,6.8
514,129,"المدينة المنوره",66,4.88
515,129,"الجوف",56,4.14
516,129,"حائل",48,3.55
517,129,"عسير",38,2.81
518,129,"تبوك",30,2.22
519,129,"جازان",19,1.4
520,129,"الحدود الشمالية",10,0.74
521,129,"الباحة",6,0.44
522,129,"نجران",4,0.3
523,130,"الرياض",486,35.92
524,130,"جده",226,16.7
525,130,"الدمام",110,8.13
526,130,"بريده",92,6.8
527,130,"مكة المكرمة",80,5.91
528,130,"المدينة المنورة",66,4.88
529,130,"سكاكا",56,4.14
530,130,"حائل",48,3.55
531,130,"ابها",38,2.81
532,130,"حفر الباطن",31,2.29
533,130,"تبوك",30,2.22
534,130,"الطائف",28,2.07
535,130,"الاحساء",23,1.7
536,130,"جيزان",19,1.4
537,130,"عرعر",10,0.74
538,130,"الباحه",6,0.44
539,130,"نجران",4,0.3
540,131,"قسمة تركة",867,64.08
541,131,"مزاد",275,20.33
542,131,"احكام و قرارات",74,5.47
543,131,"أوراق تجارية",57,4.21
544,131,"اخلاء",49,3.62
545,131,"عقود",21,1.55
546,131,"أوراق تجارية إلكترونية",7,0.52
547,131,"عام",3,0.22
548,134,"الرياض",518,29.18
549,134,"مكة المكرمه",412,23.21
550,134,"الشرقية",250,14.08
551,134,"القصيم",170,9.58
552,134,"المدينة المنوره",94,5.3
553,134,"حائل",76,4.28
554,134,"عسير",66,3.72
555,134,"تبوك",60,3.38
556,134,"الجوف",43,2.42
557,134,"جازان",31,1.75
558,134,"الحدود الشمالية",24,1.35
559,134,"الباحة",23,1.3
560,134,"نجران",8,0.45
561,135,"الرياض",518,29.18
562,135,"جده",235,13.24
563,135,"الدمام",171,9.63
564,135,"بريده",170,9.58
565,135,"مكة المكرمة",126,7.1
